,Player,Team,Year,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA
0,Bryson Albright,crd,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
1,Thurston Armbrister,crd,2018,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,Budda Baker ,crd,2018,,,,,,,,,Questionable: Foot,Out: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,
3,Bene Benwikere,crd,2018,,,,,Questionable: Neck,,,,,,,,,,,
4,Tre Boston,crd,2018,,,,,,,Out: Shoulder,Out: Shoulder,Questionable: Chest,,,,,,,
5,Deone Bucannon,crd,2018,,,,,,,,,,,Out: Chest,Out: Chest,Out: Chest,Questionable: Chest,,
6,Josh Bynes,crd,2018,,,,,,,,,,,,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
7,Christian Campbell,crd,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
8,Jeremy Cash,crd,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Korey Cunningham,crd,2018,,,,,,,,,,,,,,,,Injured Reserve: Foot
