Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Touch,TotOff,YScm,APYd,RtY
Matt Breida,RB,23.270,2018-11-25,NFL,SFO,@,TAM,L 9-27,11,12,Sun,0,0,,0,0,0,,0,0,,,14,106,7.57,0,4,3,34,11.33,0,75.0%,8.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,106,140,140,0
Rex Burkhead ,RB,29.082,2019-09-22,NFL,NWE,,NYJ,W 30-14,3,3,Sun,0,0,,0,0,0,,0,0,,,11,47,4.27,1,7,6,22,3.67,0,85.7%,3.14,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,47,69,69,0
Rex Burkhead ,RB,28.174,2018-12-23,NFL,NWE,,BUF,W 24-12,15,16,Sun,0,0,,0,0,0,,0,0,,,13,39,3.00,0,5,4,40,10.00,0,80.0%,8.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,39,79,79,0
Chris Carson,RB,24.060,2018-11-15,NFL,SEA,,GNB,W 27-24,10,11,Thu,0,0,,0,0,0,,0,0,,,17,83,4.88,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,1,1,0,0,0,0,17,83,83,83,0
Nick Chubb,RB,23.284,2019-10-07,NFL,CLE,@,SFO,L 3-31,5,5,Mon,0,0,,0,0,0,,0,0,,,16,87,5.44,0,1,1,12,12.00,0,100.0%,12.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,87,99,99,0
Nick Chubb,RB,23.339,2019-12-01,NFL,CLE,@,PIT,L 13-20,12,13,Sun,0,0,,0,0,0,,0,0,,,16,58,3.63,0,2,1,21,21.00,0,50.0%,10.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,58,79,79,0
Nick Chubb,RB,22.347,2018-12-09,NFL,CLE,,CAR,W 26-20,13,14,Sun,0,0,,0,0,0,,0,0,,,13,66,5.08,1,6,4,17,4.25,0,66.7%,2.83,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,66,83,83,0
Tevin Coleman,RB,25.160,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,0,0,,0,0,0,,0,0,,,15,33,2.20,0,3,2,14,7.00,1,66.7%,4.67,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,33,47,47,0
Tevin Coleman,RB,25.167,2018-09-30,NFL,ATL,,CIN,L 36-37,4,4,Sun,0,0,,0,0,0,,0,0,,,14,51,3.64,0,3,3,26,8.67,0,100.0%,8.67,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,51,77,77,0
Alex Collins,RB,23.099,2017-12-03,NFL,BAL,,DET,W 44-20,12,13,Sun,0,0,,0,0,0,,0,0,,,15,75,5.00,2,2,2,23,11.50,0,100.0%,11.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,75,98,98,0
Alex Collins,RB,23.113,2017-12-17,NFL,BAL,@,CLE,W 27-10,14,15,Sun,0,0,,0,0,0,,0,0,,,12,19,1.58,0,8,5,33,6.60,0,62.5%,4.13,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,19,52,52,0
James Conner,RB,24.140,2019-09-22,NFL,PIT,@,SFO,L 20-24,3,3,Sun,0,0,,0,0,0,,0,0,,,13,43,3.31,0,4,4,14,3.50,0,100.0%,3.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,43,57,57,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,RB,23.204,2018-11-25,NFL,PIT,@,DEN,L 17-24,11,12,Sun,0,0,,0,0,0,,0,0,,,13,53,4.08,0,4,4,42,10.50,0,100.0%,10.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,53,95,95,0
James Conner,RB,23.239,2018-12-30,NFL,PIT,,CIN,W 16-13,16,17,Sun,0,0,,0,0,0,,0,0,,,14,64,4.57,0,3,3,30,10.00,0,100.0%,10.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,64,94,94,0
Dalvin Cook,HB,23.114,2018-12-02,NFL,MIN,@,NWE,L 10-24,12,13,Sun,0,0,,0,0,0,,0,0,,,9,84,9.33,0,10,8,22,2.75,0,80.0%,2.20,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,84,106,106,0
Isaiah Crowell,RB,24.308,2017-11-12,NFL,CLE,@,DET,L 24-38,9,10,Sun,0,0,,0,0,0,,0,0,,,16,90,5.63,1,2,1,5,5.00,0,50.0%,2.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,90,95,95,0
Isaiah Crowell,RB,24.322,2017-11-26,NFL,CLE,@,CIN,L 16-30,11,12,Sun,0,0,,0,0,0,,0,0,,,16,95,5.94,0,2,1,10,10.00,0,50.0%,5.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,95,105,105,0
Kenyan Drake,RB,24.226,2018-09-09,NFL,MIA,,TEN,W 27-20,1,1,Sun,0,0,,0,0,0,,0,0,,,14,48,3.43,0,4,3,18,6.00,0,75.0%,4.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,48,66,66,0
Kenyan Drake,RB,24.261,2018-10-14,NFL,MIA,,CHI,W 31-28,6,6,Sun,0,0,,0,0,0,,0,0,,,13,57,4.38,0,6,4,21,5.25,0,66.7%,3.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,1,1,0,0,0,0,17,57,78,78,0
Kenyan Drake,RB,23.339,2017-12-31,NFL,MIA,,BUF,L 16-22,16,17,Sun,0,0,,0,0,0,,0,0,,,14,75,5.36,0,3,3,15,5.00,0,100.0%,5.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,75,90,90,0
Gus Edwards ,RB,24.148,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0,0,,0,0,0,,0,0,,,17,56,3.29,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,56,56,56,0
Gus Edwards ,RB,23.219,2018-11-18,NFL,BAL,,CIN,W 24-21,10,11,Sun,0,0,,0,0,0,,0,0,,,17,115,6.76,1,0,0,0,,0,0.0%,,,,,,,,1,,1,8,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,115,115,115,0
Austin Ekeler,RB,23.157,2018-10-21,NFL,LAC,,TEN,W 20-19,7,7,Sun,0,0,,0,0,0,,0,0,,,12,42,3.50,0,7,5,26,5.20,0,71.4%,3.71,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,42,68,68,0
Austin Ekeler,RB,23.206,2018-12-09,NFL,LAC,,CIN,W 26-21,13,14,Sun,0,0,,0,0,0,,0,0,,,15,66,4.40,1,5,2,28,14.00,0,40.0%,5.60,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,66,94,94,0
Ezekiel Elliott,RB,23.091,2018-10-21,NFL,DAL,@,WAS,L 17-20,7,7,Sun,0,0,,0,0,0,,0,0,,,15,33,2.20,0,6,2,9,4.50,0,33.3%,1.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,33,42,42,0
Matt Forte ,RB,31.309,2017-10-15,NFL,NYJ,,NWE,L 17-24,6,6,Sun,0,0,,0,0,0,,0,0,,,9,22,2.44,0,8,8,59,7.38,0,100.0%,7.38,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,22,81,81,0
Leonard Fournette ,RB,24.233,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0,0,,0,0,0,,0,0,,,13,66,5.08,0,6,4,28,7.00,0,66.7%,4.67,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,66,94,94,0
Myles Gaskin,RB,22.310,2019-12-22,NFL,MIA,,CIN,W 38-35,15,16,Sun,0,0,,0,0,0,,0,0,,,16,55,3.44,1,3,1,3,3.00,0,33.3%,1.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,55,58,58,0
Melvin Gordon,RB,24.164,2017-09-24,NFL,LAC,,KAN,L 10-24,3,3,Sun,0,0,,0,0,0,,0,0,,,17,79,4.65,1,2,0,0,,0,0.0%,0.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,79,79,79,0
Melvin Gordon,RB,25.163,2018-09-23,NFL,LAC,@,LAR,L 23-35,3,3,Sun,0,0,,0,0,0,,0,0,,,15,80,5.33,1,4,2,4,2.00,0,50.0%,1.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,80,84,84,0
Melvin Gordon,RB,25.205,2018-11-04,NFL,LAC,@,SEA,W 25-17,8,9,Sun,0,0,,0,0,0,,0,0,,,16,113,7.06,1,4,1,10,10.00,0,25.0%,2.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,113,123,123,0
Melvin Gordon,RB,26.219,2019-11-18,NFL,LAC,,KAN,L 17-24,11,11,Mon,0,0,,0,0,0,,0,0,,,14,69,4.93,0,5,3,21,7.00,0,60.0%,4.20,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,69,90,90,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon,RB,26.239,2019-12-08,NFL,LAC,@,JAX,W 45-10,13,14,Sun,0,0,,0,0,0,,0,0,,,12,55,4.58,1,5,5,29,5.80,0,100.0%,5.80,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,55,84,84,0
Frank Gore,RB,36.138,2019-09-29,NFL,BUF,,NWE,L 10-16,4,4,Sun,0,0,,0,0,0,,0,0,,,17,109,6.41,0,1,0,0,,0,0.0%,0.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,109,109,109,0
Frank Gore,RB,34.147,2017-10-08,NFL,IND,,SFO,W 26-23,5,5,Sun,0,0,,0,0,0,,0,0,,,14,48,3.43,0,4,3,38,12.67,0,75.0%,9.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,2,0,0,0,-8,0,17,48,86,78,0
Todd Gurley,RB,23.101,2017-11-12,NFL,LAR,,HOU,W 33-7,9,10,Sun,0,0,,0,0,0,,0,0,,,11,68,6.18,0,7,6,68,11.33,0,85.7%,9.71,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,68,136,136,0
