Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Touch,TotOff,YScm,APYd,RtY
Marlon Mack,RB,22.256,2018-11-18,NFL,IND,,TEN,W 38-10,10,11,Sun,0,0,,0,0,0,,0,0,,,16,61,3.81,1,2,1,8,8.00,0,50.0%,4.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,61,69,69,0
Marlon Mack,RB,22.263,2018-11-25,NFL,IND,,MIA,W 27-24,11,12,Sun,0,0,,0,0,0,,0,0,,,15,85,5.67,0,2,2,11,5.50,0,100.0%,5.50,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,85,96,96,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeSean McCoy,RB,29.144,2017-12-03,NFL,BUF,,NWE,L 3-23,12,13,Sun,0,0,,0,0,0,,0,0,,,15,93,6.20,0,5,2,9,4.50,0,40.0%,1.80,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,93,102,102,0
Elijah McGuire ,RB,24.205,2018-12-23,NFL,NYJ,,GNB,L 38-44,15,16,Sun,0,0,,0,0,0,,0,0,,,14,35,2.50,1,5,3,50,16.67,1,60.0%,10.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,35,85,85,0
Jerick McKinnon ,RB,25.172,2017-10-22,NFL,MIN,,BAL,W 24-16,7,7,Sun,0,0,,0,0,0,,0,0,,,14,47,3.36,0,3,3,10,3.33,0,100.0%,3.33,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,47,57,57,0
Sony Michel,RB,24.224,2019-09-29,NFL,NWE,@,BUF,W 16-10,4,4,Sun,0,0,,0,0,0,,0,0,,,17,63,3.71,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,63,63,63,0
Lamar Miller,RB,26.166,2017-10-08,NFL,HOU,,KAN,L 34-42,5,5,Sun,0,0,,0,0,0,,0,0,,,15,74,4.93,0,3,2,15,7.50,0,66.7%,5.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,74,89,89,0
Lamar Miller,RB,27.172,2018-10-14,NFL,HOU,,BUF,W 20-13,6,6,Sun,0,0,,0,0,0,,0,0,,,15,46,3.07,0,3,2,25,12.50,0,66.7%,8.33,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,46,71,71,0
Joe Mixon,HB,23.060,2019-09-22,NFL,CIN,@,BUF,L 17-21,3,3,Sun,0,0,,0,0,0,,0,0,,,15,60,4.00,0,2,2,34,17.00,1,100.0%,17.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,60,94,94,0
David Montgomery,RB,22.149,2019-11-03,NFL,CHI,@,PHI,L 14-22,8,9,Sun,0,0,,0,0,0,,0,0,,,14,40,2.86,2,4,3,36,12.00,0,75.0%,9.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,40,76,76,0
David Montgomery,RB,22.156,2019-11-10,NFL,CHI,,DET,W 20-13,9,10,Sun,0,0,,0,0,0,,0,0,,,17,60,3.53,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,60,60,60,0
Alfred Morris ,RB,28.342,2017-11-19,NFL,DAL,,PHI,L 9-37,10,11,Sun,0,0,,0,0,0,,0,0,,,17,91,5.35,0,0,0,0,,0,0.0%,,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,91,91,91,0
Alfred Morris ,RB,30.018,2018-12-30,NFL,SFO,@,LAR,L 32-48,16,17,Sun,0,0,,0,0,0,,0,0,,,16,111,6.94,1,1,1,4,4.00,0,100.0%,4.00,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,111,115,115,0
Latavius Murray,RB,28.276,2018-10-21,NFL,MIN,@,NYJ,W 37-17,7,7,Sun,0,0,,0,0,0,,0,0,,,15,69,4.60,2,2,2,14,7.00,0,100.0%,7.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,69,83,83,0
Latavius Murray,RB,27.298,2017-11-12,NFL,MIN,@,WAS,W 38-30,9,10,Sun,0,0,,0,0,0,,0,0,,,17,68,4.00,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,68,68,68,0
Adrian Peterson,RB,33.207,2018-10-14,NFL,WAS,,CAR,W 23-17,5,6,Sun,0,0,,0,0,0,,0,0,,,17,97,5.71,0,1,0,0,,0,0.0%,0.00,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,97,97,97,0
Adrian Peterson,RB,34.276,2019-12-22,NFL,WAS,,NYG,L 35-41,15,16,Sun,0,0,,0,0,0,,0,0,,,15,36,2.40,1,2,2,19,9.50,0,100.0%,9.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,36,55,55,0
Bilal Powell,RB,29.002,2017-10-29,NFL,NYJ,,ATL,L 20-25,8,8,Sun,0,0,,0,0,0,,0,0,,,14,33,2.36,0,3,3,28,9.33,0,100.0%,9.33,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,33,61,61,0
Stevan Ridley,RB,28.338,2017-12-31,NFL,PIT,,CLE,W 28-24,16,17,Sun,0,0,,0,0,0,,0,0,,,17,80,4.71,1,0,0,0,,0,0.0%,,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,80,80,80,0
Jaylen Samuels,RB,23.113,2019-11-10,NFL,PIT,,LAR,W 17-12,9,10,Sun,0,0,,0,0,0,,0,0,,,14,29,2.07,0,7,3,11,3.67,0,42.9%,1.57,,,,,,,,,0,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,29,40,40,0
Anthony Sherman,FB,29.020,2017-12-31,NFL,KAN,@,DEN,W 27-24,16,17,Sun,0,0,,0,0,0,,0,0,,,14,40,2.86,1,4,3,21,7.00,0,75.0%,5.25,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,17,40,61,61,0
Devin Singletary,RB,22.086,2019-11-28,NFL,BUF,@,DAL,W 26-15,12,13,Thu,0,0,,0,0,0,,0,0,,,14,63,4.50,0,4,3,38,12.67,1,75.0%,9.50,,,,,,,,,1,6,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,63,101,101,0
