,Player,Team,Year,09/08vs. NYG,09/15vs. WAS,09/22vs. MIA,09/29vs. NOR,10/06vs. GNB,10/13vs. NYJ,10/20vs. PHI,11/04vs. NYG,11/10vs. MIN,11/17vs. DET,11/24vs. NWE,11/28vs. BUF,12/05vs. CHI,12/15vs. LAR,12/22vs. PHI,12/29vs. WAS
21,Zack Martin ,dal,2019,,,,,,,Questionable: Back,,,,,,,,,
22,Connor McGovern,dal,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
23,Tony Pollard,dal,2019,,,,,,,,,,,,,Questionable: Ankle,,,
24,Tyvis Powell ,dal,2019,Injured Reserve: ,,,,,,,,,,,,,,,
25,Derrick Puni,dal,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,
26,Adam Redmond,dal,2019,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Daniel Ross,dal,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
28,Jameill Showers,dal,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
29,Devin Smith,dal,2019,,,,,,,,,,,,,,,Questionable: Knee,
30,Tyron Smith,dal,2019,,,,,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,,Questionable: Back
31,Xavier Su'a-Filo,dal,2019,,,,,,,,,,,,,,,,Injured Reserve: 
32,Joe Thomas,dal,2019,,,,,,,,,,,Questionable: Illness,,,,Questionable: Knee,Out: Knee
33,Darian Thompson,dal,2019,Out: Ankle,,,,,,,,,,,,,,,
34,Leighton Vander Esch,dal,2019,,,,,,,,Questionable: Neck,,,Out: Neck,Out: Neck,Out: Neck,Out: Neck,Out: Neck,Injured Reserve: 
35,Chris Westry,dal,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Cody Wichmann,dal,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Connor Williams,dal,2019,,,,,,,,,,Out: Knee,Questionable: Knee,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
38,Cedrick Wilson Jr.,dal,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
39,Donovan Wilson,dal,2019,Out: Ankle,,,,,,,,,,Questionable: Illness,,,,,
40,Antwaun Woods,dal,2019,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,Out: Knee,Out: Knee,,,Questionable: Hip
41,Xavier Woods,dal,2019,,,Out: Ankle,,,,,,,,,,,,,
