,Player,Team,Year,09/10vs. CIN,09/17vs. CLE,09/24vs. JAX,10/01vs. PIT,10/08vs. OAK,10/15vs. CHI,10/22vs. MIN,10/26vs. MIA,11/05vs. TEN,11/19vs. GNB,11/27vs. HOU,12/03vs. DET,12/10vs. PIT,12/17vs. CLE,12/23vs. IND,12/31vs. CIN
0,Kenny Bell,rav,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
1,Brandon Boykin,rav,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
2,Nick Boyle,rav,2017,,,,,,,,,Questionable: Toe,Questionable: Toe,,,,,,
3,Bam Bradley,rav,2017,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
4,Michael Campanaro,rav,2017,,Questionable: Ankle,Questionable: Ankle,,,,,Doubtful: Shoulder,Out: Shoulder,Questionable: Shoulder,Injured Reserve: Toe,,,,,
5,Maurice Canady,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,Questionable: Knee,Questionable: Knee,
6,Chuck Clark,rav,2017,,,,,,,,,Out: Thigh,Questionable: Thigh,,,,,,
7,Alex Collins,rav,2017,,,,,,,,,,,,Questionable: Calf,,,,
8,Carl Davis,rav,2017,,,,,,Questionable: Thigh,Questionable: Thigh,,,,,,,,Questionable: Shoulder,
9,Kenneth Dixon,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
10,Jermaine Eluemunor,rav,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,,,,,,,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Injured Reserve: Undisclosed,Questionable: Shoulder
11,Joe Flacco,rav,2017,,,,,,,,,Questionable: Concussion,,,,,,,
12,Crockett Gillmore,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,Jaylen Hill,rav,2017,,Out: Thigh,Out: Thigh,Out: Thigh,Doubtful: Thigh,Questionable: Thigh,Questionable: Thigh,,,,,,,,,Injured Reserve: Knee
14,Austin Howard,rav,2017,,,,,,,,,,,Questionable: Knee,,,,,Questionable: Knee
15,Marlon Humphrey ,rav,2017,,,,,,,,,,,,Questionable: Thigh,,,,
16,Tony Jefferson,rav,2017,,,,,,,,Questionable: Ankle,,,,,,,,
17,Ryan Jensen,rav,2017,,,,,,,,,Questionable: Shoulder,,,,,Questionable: Ankle,,
18,Dieugot Joseph,rav,2017,,,Out: NotInjuryRelated,,,,,,,,,,,,,
19,Jeremy Langford,rav,2017,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
20,Anthony Levine,rav,2017,,,Questionable: Chest,,Questionable: Thigh,Questionable: Thigh,Questionable: Thigh,Questionable: Back,,,,,,,Questionable: Thigh,
21,Alex Lewis,rav,2017,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
22,Jeremy Maclin,rav,2017,,,,,Questionable: Hand,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,,Questionable: Back,,Doubtful: Knee,Doubtful: Knee
23,Ryan Mallett,rav,2017,,,,,,,,,,,,,,Questionable: Hips,,
24,Chris Matthews ,rav,2017,,,Questionable: Ankle,,,,Doubtful: Thigh,Doubtful: Thigh,,,,,,,,
25,Vince Mayle,rav,2017,,,,,,,,,Questionable: Concussion,,,,,,,
26,Albert McClellan,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
27,Chris Moore,rav,2017,,,,,,,,,,,,,,Questionable: Hip,,
28,C.J. Mosley,rav,2017,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Neck,,,
29,Patrick Onwuasor,rav,2017,,,,,,,,Questionable: Knee,,,,,,,,
30,Breshad Perriman,rav,2017,,,,,,Questionable: Knee,Out: Concussion,Questionable: Concussion,,,,,,,,
31,Michael Pierce,rav,2017,,,,,,,,,Questionable: Illness,,,,,,,
32,Sheldon Price,rav,2017,Injured Reserve: Concussion,Out: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
33,Patrick Ricard,rav,2017,,,,,,,,,,,,,,,,Questionable: Neck
34,Al-Hajj Shabazz,rav,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
35,Nico Siragusa,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
36,Matt Skura,rav,2017,,,,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,
37,Jimmy Smith,rav,2017,,,,,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
38,Za'Darius Smith,rav,2017,,Out: Knee,Questionable: Knee,,,,,,,,,,Doubtful: Shoulder,Questionable: Shoulder,,
39,Ronnie Stanley ,rav,2017,,,,,,,Questionable: Mouth,,Questionable: Shoulder,Doubtful: Concussion,Questionable: Concussion,Questionable: Knee,,,Questionable: Illness,
40,Terrell Suggs,rav,2017,,,,,,,,Questionable: Knee,,,Questionable: Ankle,,,,,
41,Brent Urban ,rav,2017,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
42,Mike Wallace,rav,2017,,,,,,,Questionable: Back,Questionable: Concussion,Questionable: Back,,,,,Questionable: Ankle,,Questionable: Knee
43,Ben Watson,rav,2017,,,,Questionable: Calf,Questionable: Calf,,Questionable: Knee,Questionable: Knee,,,,,,,,
44,Lardarius Webb,rav,2017,,,,,Questionable: Thigh,,Questionable: Knee,,Questionable: Concussion,,,,,,,
45,Eric Weddle ,rav,2017,,,,,,,,Questionable: Ankle,,,,,,,,
46,Terrance West ,rav,2017,,,Questionable: Calf,,,Out: Calf,Out: Calf,Out: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,,,,,
47,Tim White,rav,2017,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
48,Brandon Williams,rav,2017,,,Out: Foot,Out: Foot,Out: Foot,Doubtful: Foot,Questionable: Foot,,,,,,,,,Questionable: Back
49,Maxx Williams,rav,2017,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,
50,Tim Williams,rav,2017,,Questionable: Illness,,,,Doubtful: Thigh,Out: Thigh,Doubtful: Thigh,Questionable: Thigh,Questionable: Thigh,,,,,,
51,Danny Woodhead,rav,2017,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,,,,
52,Marshal Yanda ,rav,2017,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
53,Tavon Young,rav,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
