Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-09-13,Injured Reserve,NOR,Knee,1,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-09-20,Injured Reserve,CHI,Knee,2,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-09-27,Injured Reserve,SFO,Knee,3,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-10-04,Injured Reserve,STL,Knee,4,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-10-11,Injured Reserve,DET,Knee,5,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-10-18,Injured Reserve,PIT,Knee,6,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-10-26,Injured Reserve,BAL,Knee,7,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-11-01,Injured Reserve,CLE,Knee,8,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-11-15,Injured Reserve,SEA,Knee,10,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-11-22,Injured Reserve,CIN,Knee,11,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-11-29,Injured Reserve,SFO,Knee,12,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-12-06,Injured Reserve,STL,Knee,13,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-12-10,Injured Reserve,MIN,Knee,14,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-12-20,Injured Reserve,PHI,Knee,15,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2015-12-27,Injured Reserve,GNB,Knee,16,TE
Gerald Christian,ARI,2015.0,/players/C/ChriGe00,2016-01-03,Injured Reserve,SEA,Knee,17,TE
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-09-13,Questionable,NOR,Hand,1,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-09-20,Probable,CHI,Hand,2,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-11-22,Questionable,CIN,Hamstring,11,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-11-29,Questionable,SFO,Hamstring,12,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-12-06,Questionable,STL,Hamstring,13,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2015-12-10,Probable,MIN,Hamstring,14,WR
Michael Floyd,ARI,2015.0,/players/F/FloyMi00,2016-01-03,Questionable,SEA,Knee,17,WR
Jermaine Gresham,ARI,2015.0,/players/G/GresJe00,2015-09-13,Questionable,NOR,Hamstring,1,TE
Jermaine Gresham,ARI,2015.0,/players/G/GresJe00,2015-09-20,Probable,CHI,Hamstring,2,TE
Jermaine Gresham,ARI,2015.0,/players/G/GresJe00,2015-12-10,Doubtful,MIN,Knee,14,TE
Jermaine Gresham,ARI,2015.0,/players/G/GresJe00,2015-12-20,Questionable,PHI,Knee,15,TE
Jermaine Gresham,ARI,2015.0,/players/G/GresJe00,2015-12-27,Probable,GNB,Knee,16,TE
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-09-13,Out,NOR,Knee,1,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-09-20,Out,CHI,Knee,2,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-09-27,Questionable,SFO,Knee,3,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-10-04,Probable,STL,Knee,4,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-10-18,Questionable,PIT,Back,6,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-11-22,Questionable,CIN,Neck,11,G
Mike Iupati,ARI,2015.0,/players/I/IupaMi20,2015-11-29,Probable,SFO,Neck,12,G
Ifeanyi Momah,ARI,2015.0,/players/M/MomaIf00,2015-09-13,Injured Reserve,NOR,Knee,1,WR
Ifeanyi Momah,ARI,2015.0,/players/M/MomaIf00,2015-09-20,Injured Reserve,CHI,Knee,2,WR
Ifeanyi Momah,ARI,2015.0,/players/M/MomaIf00,2015-09-27,Injured Reserve,SFO,Knee,3,WR
Ifeanyi Momah,ARI,2015.0,/players/M/MomaIf00,2015-10-04,Injured Reserve,STL,Knee,4,WR
