Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Deone Bucannon,ARI,2017.0,BucaDe00,2017-09-10,Out,DET,Ankle,1,SS
Deone Bucannon,ARI,2017.0,BucaDe00,2017-09-17,Doubtful,IND,Ankle,2,SS
Deone Bucannon,ARI,2017.0,BucaDe00,2017-09-25,Questionable,DAL,Ankle,3,SS
Deone Bucannon,ARI,2017.0,BucaDe00,2017-12-03,Out,LAR,Ankle,13,SS
Aaron Dobson,ARI,2017.0,DobsAa00,2017-09-10,Injured Reserve,DET,Hamstring,1,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-09-17,Injured Reserve,IND,Hamstring,2,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-09-25,Injured Reserve,DAL,Hamstring,3,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-10-01,Injured Reserve,SFO,Hamstring,4,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-10-08,Injured Reserve,PHI,Hamstring,5,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-10-15,Injured Reserve,TAM,Hamstring,6,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-10-22,Injured Reserve,LAR,Hamstring,7,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-11-05,Injured Reserve,SFO,Hamstring,9,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-11-09,Injured Reserve,SEA,Hamstring,10,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-11-19,Injured Reserve,HOU,Hamstring,11,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-11-26,Injured Reserve,JAX,Hamstring,12,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-12-03,Injured Reserve,LAR,Hamstring,13,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-12-10,Injured Reserve,TEN,Hamstring,14,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-12-17,Injured Reserve,WAS,Hamstring,15,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-12-24,Injured Reserve,NYG,Hamstring,16,
Aaron Dobson,ARI,2017.0,DobsAa00,2017-12-31,Injured Reserve,SEA,Hamstring,17,
Alani Fua,ARI,2017.0,FuaxAl00,2017-09-10,Injured Reserve,DET,Knee,1,
Alani Fua,ARI,2017.0,FuaxAl00,2017-09-17,Injured Reserve,IND,Knee,2,
Alani Fua,ARI,2017.0,FuaxAl00,2017-09-25,Injured Reserve,DAL,Knee,3,
Alani Fua,ARI,2017.0,FuaxAl00,2017-10-01,Injured Reserve,SFO,Knee,4,
Alani Fua,ARI,2017.0,FuaxAl00,2017-10-08,Injured Reserve,PHI,Knee,5,
Alani Fua,ARI,2017.0,FuaxAl00,2017-10-15,Injured Reserve,TAM,Knee,6,
Alani Fua,ARI,2017.0,FuaxAl00,2017-10-22,Injured Reserve,LAR,Knee,7,
Alani Fua,ARI,2017.0,FuaxAl00,2017-11-05,Injured Reserve,SFO,Knee,9,
Alani Fua,ARI,2017.0,FuaxAl00,2017-11-09,Injured Reserve,SEA,Knee,10,
Alani Fua,ARI,2017.0,FuaxAl00,2017-11-19,Injured Reserve,HOU,Knee,11,
Alani Fua,ARI,2017.0,FuaxAl00,2017-11-26,Injured Reserve,JAX,Knee,12,
Alani Fua,ARI,2017.0,FuaxAl00,2017-12-03,Injured Reserve,LAR,Knee,13,
Alani Fua,ARI,2017.0,FuaxAl00,2017-12-10,Injured Reserve,TEN,Knee,14,
