Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Justin Bethel,ARI,2016.0,BethJu00,2016-09-11,Questionable,NWE,foot,1,CB
Justin Bethel,ARI,2016.0,BethJu00,2016-09-25,Questionable,BUF,foot,3,CB
Justin Bethel,ARI,2016.0,BethJu00,2016-10-02,Questionable,LAR,foot,4,CB
Justin Bethel,ARI,2016.0,BethJu00,2016-10-06,Questionable,SFO,,5,CB
Justin Bethel,ARI,2016.0,BethJu00,2016-11-27,Questionable,ATL,foot,12,CB
Elie Bouka,ARI,2016.0,BoukEl00,2016-09-11,Injured Reserve,NWE,Hamstring,1,
Elie Bouka,ARI,2016.0,BoukEl00,2016-09-18,Injured Reserve,TAM,Hamstring,2,
Elie Bouka,ARI,2016.0,BoukEl00,2016-09-25,Injured Reserve,BUF,Hamstring,3,
Elie Bouka,ARI,2016.0,BoukEl00,2016-10-02,Injured Reserve,LAR,Hamstring,4,
Elie Bouka,ARI,2016.0,BoukEl00,2016-10-06,Injured Reserve,SFO,Hamstring,5,
Elie Bouka,ARI,2016.0,BoukEl00,2016-10-17,Injured Reserve,NYJ,Hamstring,6,
Elie Bouka,ARI,2016.0,BoukEl00,2016-10-23,Injured Reserve,SEA,Hamstring,7,
Elie Bouka,ARI,2016.0,BoukEl00,2016-10-30,Injured Reserve,CAR,Hamstring,8,
Elie Bouka,ARI,2016.0,BoukEl00,2016-11-13,Injured Reserve,SFO,Hamstring,10,
Elie Bouka,ARI,2016.0,BoukEl00,2016-11-20,Injured Reserve,MIN,Hamstring,11,
Elie Bouka,ARI,2016.0,BoukEl00,2016-11-27,Injured Reserve,ATL,Hamstring,12,
Elie Bouka,ARI,2016.0,BoukEl00,2016-12-04,Injured Reserve,WAS,Hamstring,13,
Elie Bouka,ARI,2016.0,BoukEl00,2016-12-11,Injured Reserve,MIA,Hamstring,14,
Elie Bouka,ARI,2016.0,BoukEl00,2016-12-18,Injured Reserve,NOR,Hamstring,15,
Elie Bouka,ARI,2016.0,BoukEl00,2016-12-24,Injured Reserve,SEA,Hamstring,16,
Elie Bouka,ARI,2016.0,BoukEl00,2017-01-01,Injured Reserve,LAR,Hamstring,17,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-09-11,Injured Reserve,NWE,Arm,1,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-09-18,Injured Reserve,TAM,Arm,2,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-09-25,Injured Reserve,BUF,Arm,3,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-10-02,Injured Reserve,LAR,Arm,4,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-10-06,Injured Reserve,SFO,Arm,5,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-10-17,Injured Reserve,NYJ,Arm,6,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-10-23,Injured Reserve,SEA,Arm,7,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-10-30,Injured Reserve,CAR,Arm,8,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-11-13,Injured Reserve,SFO,Arm,10,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-11-20,Injured Reserve,MIN,Arm,11,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-11-27,Injured Reserve,ATL,Arm,12,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-12-04,Injured Reserve,WAS,Arm,13,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-12-11,Injured Reserve,MIA,Arm,14,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-12-18,Injured Reserve,NOR,Arm,15,
Durell Eskridge,ARI,2016.0,EskrDu01,2016-12-24,Injured Reserve,SEA,Arm,16,
Durell Eskridge,ARI,2016.0,EskrDu01,2017-01-01,Injured Reserve,LAR,Arm,17,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-09-11,Injured Reserve,NWE,Knee,1,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-09-18,Injured Reserve,TAM,Knee,2,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-09-25,Injured Reserve,BUF,Knee,3,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-10-02,Injured Reserve,LAR,Knee,4,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-10-06,Injured Reserve,SFO,Knee,5,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-10-17,Injured Reserve,NYJ,Knee,6,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-10-23,Injured Reserve,SEA,Knee,7,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-10-30,Injured Reserve,CAR,Knee,8,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-11-13,Injured Reserve,SFO,Knee,10,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-11-20,Injured Reserve,MIN,Knee,11,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-11-27,Injured Reserve,ATL,Knee,12,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-12-04,Injured Reserve,WAS,Knee,13,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-12-11,Injured Reserve,MIA,Knee,14,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-12-18,Injured Reserve,NOR,Knee,15,
Mike Jenkins,ARI,2016.0,JenkMi99,2016-12-24,Injured Reserve,SEA,Knee,16,
Mike Jenkins,ARI,2016.0,JenkMi99,2017-01-01,Injured Reserve,LAR,Knee,17,
Kareem Martin,ARI,2016.0,MartKa00,2016-09-11,Out,NWE,knee,1,DE
Kareem Martin,ARI,2016.0,MartKa00,2016-09-18,Out,TAM,knee,2,DE
Kareem Martin,ARI,2016.0,MartKa00,2016-09-25,Doubtful,BUF,knee,3,DE
Kareem Martin,ARI,2016.0,MartKa00,2016-10-02,Questionable,LAR,knee,4,DE
Sio Moore,ARI,2016.0,MoorSi00,2016-09-11,Questionable,NWE,hamstring,1,OLB
Sio Moore,ARI,2016.0,MoorSi00,2017-01-01,Questionable,LAR,ankle,17,OLB
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-09-11,Injured Reserve,NWE,Hamstring,1,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-09-18,Injured Reserve,TAM,Hamstring,2,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-09-25,Injured Reserve,BUF,Hamstring,3,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-10-02,Injured Reserve,LAR,Hamstring,4,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-10-06,Injured Reserve,SFO,Hamstring,5,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-10-17,Injured Reserve,NYJ,Hamstring,6,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-10-23,Injured Reserve,SEA,Hamstring,7,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-10-30,Injured Reserve,CAR,Hamstring,8,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-11-13,Injured Reserve,SFO,Hamstring,10,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-11-20,Injured Reserve,MIN,Hamstring,11,
Tristan Okpalaugo,ARI,2016.0,OkpaTr00,2016-11-27,Injured Reserve,ATL,Hamstring,12,
