Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Marcus Gilbert,ARI,2020.0,/players/G/GilbMa00,2020-09-13,Injured Reserve,SFO,,1,RT
Marcus Gilbert,ARI,2020.0,/players/G/GilbMa00,2020-11-29,Injured Reserve,NWE,,12,RT
Josh Jones,ARI,2020.0,/players/J/JoneJo07,2020-09-13,Out,SFO,Ankle,1,OL
Josh Jones,ARI,2020.0,/players/J/JoneJo07,2020-09-20,Questionable,WAS,Ankle,2,OL
Brett Toth,ARI,2020.0,/players/T/TothBr00,2020-09-13,Injured Reserve,SFO,,1,T
Brett Toth,ARI,2020.0,/players/T/TothBr00,2020-09-20,Injured Reserve,WAS,,2,T
Brett Toth,ARI,2020.0,/players/T/TothBr00,2020-09-27,Injured Reserve,DET,,3,T
Brett Toth,ARI,2020.0,/players/T/TothBr00,2020-10-04,Injured Reserve,CAR,,4,T
Brett Toth,ARI,2020.0,/players/T/TothBr00,2020-10-11,Injured Reserve,NYJ,,5,T
Mason Cole,ARI,2020.0,/players/C/ColeMa02,2020-09-20,Out,WAS,Hamstring,2,C
Mason Cole,ARI,2020.0,/players/C/ColeMa02,2020-09-27,Out,DET,Hamstring,3,C
Mason Cole,ARI,2020.0,/players/C/ColeMa02,2020-10-04,Questionable,CAR,Hamstring,4,C
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2020-09-20,Questionable,WAS,Wrist,2,DE
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2020-10-19,Out,DAL,Hamstring,6,DE
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2020-10-25,Questionable,SEA,Hamstring,7,DE
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2020-12-20,Out,PHI,Hamstring,15,DE
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2020-12-26,Questionable,SFO,Hamstring,16,DE
Kylie Fitts,ARI,2020.0,/players/F/FittKy00,2021-01-03,Injured Reserve,LAR,,17,DE
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-09-20,Injured Reserve,WAS,,2,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-09-27,Injured Reserve,DET,,3,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-10-04,Injured Reserve,CAR,,4,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-10-11,Injured Reserve,NYJ,,5,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-10-19,Injured Reserve,DAL,,6,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-10-25,Injured Reserve,SEA,,7,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-11-08,Injured Reserve,MIA,,9,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-11-29,Out,NWE,Ankle,12,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-12-06,Out,LAR,Ankle,13,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-12-13,Out,NYG,Ankle,14,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-12-20,Out,PHI,Ankle,15,S
Jalen Thompson,ARI,2020.0,/players/T/ThomJa04,2020-12-26,Questionable,SFO,Ankle,16,S
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-09-20,Out,WAS,Ankle,2,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-09-27,Injured Reserve,DET,,3,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-10-04,Injured Reserve,CAR,,4,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-10-11,Injured Reserve,NYJ,,5,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-10-19,Injured Reserve,DAL,,6,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-10-25,Injured Reserve,SEA,,7,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-11-08,Injured Reserve,MIA,,9,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-11-15,Questionable,BUF,Ankle,10,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-11-19,Questionable,SEA,Ankle,11,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2020-12-26,Questionable,SFO,Ankle,16,TE
Maxx Williams,ARI,2020.0,/players/W/WillMa04,2021-01-03,Questionable,LAR,Ankle,17,TE
Christian Kirk,ARI,2020.0,/players/K/KirkCh01,2020-09-27,Out,DET,Groin,3,WR
Christian Kirk,ARI,2020.0,/players/K/KirkCh01,2020-10-04,Questionable,CAR,Groin,4,WR
Christian Kirk,ARI,2020.0,/players/K/KirkCh01,2021-01-03,C19,LAR,,17,WR
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-09-27,Questionable,DET,Neck,3,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-10-04,Questionable,CAR,Concussion,4,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-10-25,Questionable,SEA,Foot,7,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-11-08,Out,MIA,Thigh,9,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-11-15,Questionable,BUF,Thigh,10,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-12-20,Questionable,PHI,Hamstring,15,CB
Dre Kirkpatrick,ARI,2020.0,/players/K/KirkDr00,2020-12-26,Questionable,SFO,Hamstring,16,CB
Jordan Phillips,ARI,2020.0,/players/P/PhilJo01,2020-09-27,Questionable,DET,Ankle,3,DT
Jordan Phillips,ARI,2020.0,/players/P/PhilJo01,2020-10-11,Questionable,NYJ,Illness,5,DT
