Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
AJ Cann,25.322,OL,JAX,2017-09-10,Sun,2017,1,1.0,Away,HOU,W 29-7,0.0,,,,,1
AJ Cann,25.329,OL,JAX,2017-09-17,Sun,2017,2,2.0,Home,TEN,L 16-37,0.0,,,,,2
AJ Cann,25.336,OL,JAX,2017-09-24,Sun,2017,3,3.0,Home,BAL,W 44-7,0.0,,,,,3
AJ Cann,25.343,OL,JAX,2017-10-01,Sun,2017,4,4.0,Away,NYJ,L 20-23,0.0,,,,,4
AJ Cann,25.35,OL,JAX,2017-10-08,Sun,2017,5,5.0,Away,PIT,W 30-9,0.0,,,,,5
AJ Cann,25.357,OL,JAX,2017-10-15,Sun,2017,6,6.0,Home,LAR,L 17-27,0.0,,,,,6
AJ Cann,25.364,OL,JAX,2017-10-22,Sun,2017,7,7.0,Away,IND,W 27-0,0.0,,,,,7
AJ Cann,,,,,,2017,8,,,,,,,,,,8
AJ Derby,25.356,TE,DEN,2017-09-11,Mon,2017,1,1.0,Home,LAC,W 24-21,4.9,29.0,0.43,,,1
AJ Derby,25.362,TE,DEN,2017-09-17,Sun,2017,2,2.0,Home,DAL,W 42-17,0.0,29.0,0.38,,,2
AJ Derby,26.004,TE,DEN,2017-09-24,Sun,2017,3,3.0,Away,BUF,L 16-26,1.0,29.0,0.41,,,3
AJ Derby,26.011,TE,DEN,2017-10-01,Sun,2017,4,4.0,Home,OAK,W 16-10,15.5,29.0,0.45,,,4
AJ Derby,,,,,,2017,5,,,,,,,,,,5
AJ Derby,26.025,TE,DEN,2017-10-15,Sun,2017,6,5.0,Home,NYG,L 10-23,1.5,52.0,0.64,,,6
AJ Derby,26.032,TE,DEN,2017-10-22,Sun,2017,7,6.0,Away,LAC,L 0-21,7.600000000000001,32.0,0.5,,,7
AJ Derby,26.04,TE,DEN,2017-10-30,Mon,2017,8,7.0,Away,KAN,L 19-29,9.1,38.0,0.52,,,8
AJ Derby,26.046,TE,DEN,2017-11-05,Sun,2017,9,8.0,Away,PHI,L 23-51,1.6,33.0,0.51,,,9
AJ Derby,26.053,TE,DEN,2017-11-12,Sun,2017,10,9.0,Home,NWE,L 16-41,0.7,14.0,0.22,,,10
AJ Klein,26.043,LB,NOR,2017-09-11,Mon,2017,1,1.0,Away,MIN,L 19-29,20.25,65.0,65.0,,,1
AJ Klein,26.049,LB,NOR,2017-09-17,Sun,2017,2,2.0,Home,NWE,L 20-36,3.75,76.0,76.0,,,2
AJ Klein,26.056,LB,NOR,2017-09-24,Sun,2017,3,3.0,Away,CAR,W 34-13,6.0,59.0,59.0,,,3
AJ Klein,26.063,LB,NOR,2017-10-01,Sun,2017,4,4.0,Away,MIA,W 20-0,12.0,52.0,52.0,,,4
AJ Klein,,,,,,2017,5,,,,,,,,,,5
AJ Klein,26.077,LB,NOR,2017-10-15,Sun,2017,6,5.0,Home,DET,W 52-38,5.25,81.0,81.0,,,6
AJ Klein,26.084,LB,NOR,2017-10-22,Sun,2017,7,6.0,Away,GNB,W 26-17,12.5,55.0,55.0,,,7
AJ Klein,26.091,LB,NOR,2017-10-29,Sun,2017,8,7.0,Home,CHI,W 20-12,6.75,67.0,67.0,,,8
AJ Klein,26.098,LB,NOR,2017-11-05,Sun,2017,9,8.0,Home,TAM,W 30-10,8.0,59.0,59.0,,,9
AJ Klein,26.105,LB,NOR,2017-11-12,Sun,2017,10,9.0,Away,BUF,W 47-10,0.0,9.0,9.0,,,10
AQ Shipley,31.111,OL,ARI,2017-09-10,Sun,2017,1,1.0,Away,DET,L 23-35,0.0,,,,,1
AQ Shipley,31.118,OL,ARI,2017-09-17,Sun,2017,2,2.0,Away,IND,W 16-13,0.0,,,,,2
AQ Shipley,31.126,OL,ARI,2017-09-25,Mon,2017,3,3.0,Home,DAL,L 17-28,0.0,,,,,3
AQ Shipley,31.132,OL,ARI,2017-10-01,Sun,2017,4,4.0,Home,SFO,W 18-15,0.0,,,,,4
AQ Shipley,31.139,OL,ARI,2017-10-08,Sun,2017,5,5.0,Away,PHI,L 7-34,0.0,,,,,5
AQ Shipley,31.146,OL,ARI,2017-10-15,Sun,2017,6,6.0,Home,TAM,W 38-33,0.0,,,,,6
AQ Shipley,31.153,OL,ARI,2017-10-22,Sun,2017,7,7.0,Away,LAR,L 0-33,0.0,,,,,7
AQ Shipley,,,,,,2017,8,,,,,,,,,,8
AQ Shipley,31.167,OL,ARI,2017-11-05,Sun,2017,9,8.0,Away,SFO,W 20-10,0.0,,,,,9
AQ Shipley,31.171,OL,ARI,2017-11-09,Thu,2017,10,9.0,Home,SEA,L 16-22,0.0,,,,,10
Aaron Brewer,27.067,LongSnap,ARI,2017-09-10,Sun,2017,1,1.0,Away,DET,L 23-35,0.0,,,,,1
Aaron Brewer,27.074,LongSnap,ARI,2017-09-17,Sun,2017,2,2.0,Away,IND,W 16-13,0.0,,,,,2
Aaron Brewer,27.082,LongSnap,ARI,2017-09-25,Mon,2017,3,3.0,Home,DAL,L 17-28,1.5,1.0,1.0,,,3
Aaron Brewer,27.088,LongSnap,ARI,2017-10-01,Sun,2017,4,4.0,Home,SFO,W 18-15,0.0,,,,,4
Aaron Brewer,27.095,LongSnap,ARI,2017-10-08,Sun,2017,5,5.0,Away,PHI,L 7-34,0.75,,,,,5
Aaron Jones,,,,,,2017,1,,,,,,,,,,1
Aaron Jones,22.289,RB,GNB,2017-09-17,Sun,2017,2,2.0,Away,ATL,L 23-34,0.0,,,,,2
Aaron Jones,22.296,RB,GNB,2017-09-24,Sun,2017,3,3.0,Home,CIN,W 27-24,0.0,,,,,3
Aaron Jones,22.3,RB,GNB,2017-09-28,Thu,2017,4,4.0,Home,CHI,W 35-14,10.9,30.0,0.55,,,4
Aaron Jones,22.31,RB,GNB,2017-10-08,Sun,2017,5,5.0,Away,DAL,W 35-31,19.9,53.0,0.88,,,5
Aaron Jones,22.317,RB,GNB,2017-10-15,Sun,2017,6,6.0,Away,MIN,L 10-23,4.7,43.0,0.65,,,6
Aaron Jones,22.324,RB,GNB,2017-10-22,Sun,2017,7,7.0,Home,NOR,L 17-26,21.3,44.0,0.8,,,7
Aaron Jones,,,,,,2017,8,,,,,,,,,,8
Aaron Jones,22.339,RB,GNB,2017-11-06,Mon,2017,9,8.0,Home,DET,L 17-30,2.1,20.0,0.34,,,9
Aaron Jones,22.345,RB,GNB,2017-11-12,Sun,2017,10,9.0,Away,CHI,W 23-16,1.7000000000000002,6.0,0.09,,,10
Aaron Rodgers,33.282,QB,GNB,2017-09-10,Sun,2017,1,1.0,Home,SEA,W 17-9,17.54,82.0,1.0,,,1
Aaron Rodgers,33.289,QB,GNB,2017-09-17,Sun,2017,2,2.0,Away,ATL,L 23-34,19.52,76.0,1.0,,,2
