Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Inj_Week
A'Shawn Robinson,,DL,DET,2018-11-18,Sun,2018,11,10.0,Home,CAR,W 20-19,,,,Out,Ankle,1
A'Shawn Robinson,23.246,DL,DET,2018-11-22,Thu,2018,12,11.0,Home,CHI,L 16-23,0.75,25.0,0.42,Questionable,Ankle,2
A'Shawn Robinson,23.256,DL,DET,2018-12-02,Sun,2018,13,12.0,Home,LAR,L 16-30,6.0,39.0,0.57,,,3
A'Shawn Robinson,23.263,DL,DET,2018-12-09,Sun,2018,14,13.0,Away,ARI,W 17-3,15.0,49.0,0.7,,,4
A'Shawn Robinson,23.27,DL,DET,2018-12-16,Sun,2018,15,14.0,Away,BUF,L 13-14,9.25,51.0,0.74,,,5
A'Shawn Robinson,23.277,DL,DET,2018-12-23,Sun,2018,16,15.0,Home,MIN,L 9-27,1.5,15.0,0.25,,,6
A'Shawn Robinson,,DL,DET,2018-12-30,Sun,2018,17,16.0,Away,GNB,W 31-0,,,,Out,Knee,7
AJ Bouye,,DB,JAX,2018-10-28,Sun,2018,8,8.0,Home,PHI,L 18-24,,,,Out,Calf,1
AJ Bouye,,,,,,2018,9,,,,,,,,,,2
AJ Bouye,,DB,JAX,2018-11-11,Sun,2018,10,9.0,Away,IND,L 26-29,,,,Out,Calf,3
AJ Bouye,27.094,DB,JAX,2018-11-18,Sun,2018,11,10.0,Home,PIT,L 16-20,9.75,65.0,1.0,,,4
AJ Bouye,27.101,DB,JAX,2018-11-25,Sun,2018,12,11.0,Away,BUF,L 21-24,4.5,58.0,0.98,,,5
AJ Bouye,27.108,DB,JAX,2018-12-02,Sun,2018,13,12.0,Home,IND,W 6-0,10.5,76.0,1.0,,,6
AJ Bouye,27.112,DB,JAX,2018-12-06,Thu,2018,14,13.0,Away,TEN,L 9-30,6.75,58.0,0.97,,,7
AJ Bouye,27.122,DB,JAX,2018-12-16,Sun,2018,15,14.0,Home,WAS,L 13-16,2.25,68.0,1.0,,,8
AJ Bouye,27.129,DB,JAX,2018-12-23,Sun,2018,16,15.0,Away,MIA,W 17-7,4.5,45.0,0.98,,,9
AJ Bouye,,DB,JAX,2018-12-30,Sun,2018,17,16.0,Away,HOU,L 3-20,,,,Out,Toe,10
AJ Cann,,OL,JAX,2018-09-23,Sun,2018,3,3.0,Home,TEN,L 6-9,,,,Questionable,Tricep,1
AJ Cann,26.342,OL,JAX,2018-09-30,Sun,2018,4,4.0,Home,NYJ,W 31-12,0.0,,,Questionable,Tricep,2
AJ Cann,26.349,OL,JAX,2018-10-07,Sun,2018,5,5.0,Away,KAN,L 14-30,0.0,,,,,3
AJ Cann,26.356,OL,JAX,2018-10-14,Sun,2018,6,6.0,Away,DAL,L 7-40,0.0,,,,,4
AJ Cann,26.363,OL,JAX,2018-10-21,Sun,2018,7,7.0,Home,HOU,L 7-20,0.0,,,,,5
AJ Cann,27.005,OL,JAX,2018-10-28,Sun,2018,8,8.0,Home,PHI,L 18-24,0.0,,,,,6
AJ Cann,,,,,,2018,9,,,,,,,,,,7
AJ Cann,27.019,OL,JAX,2018-11-11,Sun,2018,10,9.0,Away,IND,L 26-29,0.0,,,,,8
AJ Cann,27.026,OL,JAX,2018-11-18,Sun,2018,11,10.0,Home,PIT,L 16-20,0.0,,,Questionable,Hamstring,9
AJ Cann,27.033,OL,JAX,2018-11-25,Sun,2018,12,11.0,Away,BUF,L 21-24,0.0,,,Questionable,Hamstring,10
AJ Cann,27.04,OL,JAX,2018-12-02,Sun,2018,13,12.0,Home,IND,W 6-0,0.0,,,,,11
AJ Cann,27.044,OL,JAX,2018-12-06,Thu,2018,14,13.0,Away,TEN,L 9-30,0.0,,,,,12
AJ Cann,27.054,OL,JAX,2018-12-16,Sun,2018,15,14.0,Home,WAS,L 13-16,0.0,,,,,13
AJ Cann,27.061,OL,JAX,2018-12-23,Sun,2018,16,15.0,Away,MIA,W 17-7,0.0,,,,,14
AJ Cann,27.068,OL,JAX,2018-12-30,Sun,2018,17,16.0,Away,HOU,L 3-20,0.0,,,,,15
AJ Derby,,TE,MIA,2018-09-30,Sun,2018,4,4.0,Away,NWE,L 7-38,,,,Out,Foot,1
AJ Derby,,TE,MIA,2018-10-07,Sun,2018,5,5.0,Away,CIN,L 17-27,,,,Out,Foot,2
AJ Derby,,TE,MIA,2018-10-14,Sun,2018,6,6.0,Home,CHI,W 31-28,,,,Questionable,Foot,3
AJ Derby,,TE,MIA,2018-10-21,Sun,2018,7,7.0,Home,DET,L 21-32,,,,Questionable,Foot,4
AJ Derby,,TE,MIA,2018-10-25,Thu,2018,8,8.0,Away,HOU,L 23-42,,,,Questionable,Foot,5
AJ Derby,,TE,MIA,2018-11-04,Sun,2018,9,9.0,Home,NYJ,W 13-6,,,,Questionable,Foot,6
AJ Derby,27.052,TE,MIA,2018-11-11,Sun,2018,10,10.0,Away,GNB,L 12-31,7.3,30.0,0.44,Questionable,Foot,7
AJ Derby,,,,,,2018,11,,,,,,,,,,8
AJ Derby,,TE,MIA,2018-11-25,Sun,2018,12,11.0,Away,IND,L 24-27,,,,Injured Reserve,Foot,9
AJ Derby,,TE,MIA,2018-12-02,Sun,2018,13,12.0,Home,BUF,W 21-17,,,,Injured Reserve,Foot,10
AJ Derby,,TE,MIA,2018-12-09,Sun,2018,14,13.0,Home,NWE,W 34-33,,,,Injured Reserve,Foot,11
AJ Derby,,TE,MIA,2018-12-16,Sun,2018,15,14.0,Away,MIN,L 17-41,,,,Injured Reserve,Foot,12
