Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
AJ Bouye,29.029,DB,DEN,2020-09-14,Mon,2020,1,1.0,Home,TEN,L 14-16,1.5,28.0,0.35,,,1
AJ Brown,23.076,WR,TEN,2020-09-14,Mon,2020,1,1.0,Away,DEN,W 16-14,6.4,66.0,0.81,,,1
AJ Cann,,,,,,2020,1,,,,,,,,,,1
AJ Cann,28.333,OL,JAX,2020-09-20,Sun,2020,2,2.0,Away,TEN,L 30-33,0.0,,,,,2
AJ Cann,,,,,,2020,3,,,,,,,,,,3
AJ Cann,,,,,,2020,4,,,,,,,,,,4
AJ Cann,,,,,,2020,5,,,,,,,,,,5
AJ Cann,,,,,,2020,6,,,,,,,,,,6
AJ Dillon,22.134,RB,GNB,2020-09-13,Sun,2020,1,1.0,Away,MIN,W 43-34,1.4,5.0,0.06,,,1
AJ Dillon,22.141,RB,GNB,2020-09-20,Sun,2020,2,2.0,Home,DET,W 42-21,1.7000000000000002,7.0,0.1,,,2
AJ Dillon,,,,,,2020,3,,,,,,,,,,3
AJ Dillon,22.156,RB,GNB,2020-10-05,Mon,2020,4,4.0,Home,ATL,W 30-16,0.3,3.0,0.05,,,4
AJ Dillon,,,,,,2020,5,,,,,,,,,,5
AJ Dillon,22.169,RB,GNB,2020-10-18,Sun,2020,6,5.0,Away,TAM,L 10-38,3.1,10.0,0.16,,,6
AJ Dillon,22.176,RB,GNB,2020-10-25,Sun,2020,7,6.0,Away,HOU,W 35-20,1.1,14.0,0.23,,,7
AJ Dillon,22.183,RB,GNB,2020-11-01,Sun,2020,8,7.0,Home,MIN,L 22-28,4.2,10.0,0.14,,,8
AJ McCarron,,,,,,2020,1,,,,,,,,,,1
AJ McCarron,,,,,,2020,2,,,,,,,,,,2
AJ McCarron,,,,,,2020,3,,,,,,,,,,3
AJ McCarron,,,,,,2020,4,,,,,,,,,,4
AJ McCarron,,,,,,2020,5,,,,,,,,,,5
AJ McCarron,,,,,,2020,6,,,,,,,,,,6
AJ McCarron,,,,,,2020,7,,,,,,,,,,7
AJ McCarron,,,,,,2020,8,,,,,,,,,,8
AJ McCarron,,,,,,2020,9,,,,,,,,,,9
AJ McCarron,,,,,,2020,10,,,,,,,,,,10
AJ McCarron,,,,,,2020,11,,,,,,,,,,11
AJ McCarron,,,,,,2020,12,,,,,,,,,,12
AJ McCarron,,,,,,2020,13,,,,,,,,,,13
AJ Moore,24.27,DB,HOU,2020-09-10,Thu,2020,1,1.0,Away,KAN,L 20-34,3.0,26.0,0.37,,,1
AJ Moore,24.28,DB,HOU,2020-09-20,Sun,2020,2,2.0,Home,BAL,L 16-33,3.0,24.0,0.37,,,2
AJ Moore,24.287,DB,HOU,2020-09-27,Sun,2020,3,3.0,Away,PIT,L 21-28,5.25,29.0,0.36,,,3
AQ Shipley,,,,,,2020,1,,,,,,,,,,1
AQ Shipley,,,,,,2020,2,,,,,,,,,,2
AQ Shipley,,,,,,2020,3,,,,,,,,,,3
AQ Shipley,,,,,,2020,4,,,,,,,,,,4
AQ Shipley,,,,,,2020,5,,,,,,,,,,5
AQ Shipley,,,,,,2020,6,,,,,,,,,,6
AQ Shipley,,,,,,2020,7,,,,,,,,,,7
AQ Shipley,,,,,,2020,8,,,,,,,,,,8
AQ Shipley,,,,,,2020,9,,,,,,,,,,9
AQ Shipley,,,,,,2020,10,,,,,,,,,,10
AQ Shipley,,,,,,2020,11,,,,,,,,,,11
Aaron Jones,25.286,RB,GNB,2020-09-13,Sun,2020,1,1.0,Away,MIN,W 43-34,15.6,42.0,0.53,,,1
Aaron Jones,25.293,RB,GNB,2020-09-20,Sun,2020,2,2.0,Home,DET,W 42-21,43.6,35.0,0.48,,,2
Aaron Jones,25.3,RB,GNB,2020-09-27,Sun,2020,3,3.0,Away,NOR,W 37-30,15.6,44.0,0.71,,,3
Aaron Jones,25.308,RB,GNB,2020-10-05,Mon,2020,4,4.0,Home,ATL,W 30-16,19.6,33.0,0.52,,,4
Aaron Jones,,,,,,2020,5,,,,,,,,,,5
Aaron Jones,25.321,RB,GNB,2020-10-18,Sun,2020,6,5.0,Away,TAM,L 10-38,11.6,36.0,0.57,,,6
Abry Jones,29.005,DL,JAX,2020-09-13,Sun,2020,1,1.0,Home,IND,W 27-20,0.75,32.0,0.43,,,1
Abry Jones,29.012,DL,JAX,2020-09-20,Sun,2020,2,2.0,Away,TEN,L 30-33,2.25,31.0,0.49,,,2
Abry Jones,29.016,DL,JAX,2020-09-24,Thu,2020,3,3.0,Home,MIA,L 13-31,1.5,36.0,0.59,,,3
Abry Jones,29.026,DL,JAX,2020-10-04,Sun,2020,4,4.0,Away,CIN,L 25-33,1.5,38.0,0.5,,,4
Abry Jones,29.033,DL,JAX,2020-10-11,Sun,2020,5,5.0,Away,HOU,L 14-30,3.0,25.0,0.43,,,5
Adam Butler,26.154,DL,NWE,2020-09-13,Sun,2020,1,1.0,Home,MIA,W 21-11,3.75,35.0,0.56,,,1
Adam Humphries,27.082,WR,TEN,2020-09-14,Mon,2020,1,1.0,Away,DEN,W 16-14,7.7,44.0,0.54,,,1
Adam Humphries,27.088,WR,TEN,2020-09-20,Sun,2020,2,2.0,Home,JAX,W 33-30,13.3,34.0,0.54,,,2
Adam Humphries,27.095,WR,TEN,2020-09-27,Sun,2020,3,3.0,Away,MIN,W 31-30,6.1000000000000005,39.0,0.51,,,3
Adam Humphries,,,,,,2020,4,,,,,,,,,,4
Adam Humphries,,,,,,2020,5,,,,,,,,,,5
Adam Humphries,27.116,WR,TEN,2020-10-18,Sun,2020,6,5.0,Home,HOU,W 42-36,15.4,41.0,0.54,,,6
Adam Humphries,27.123,WR,TEN,2020-10-25,Sun,2020,7,6.0,Home,PIT,L 24-27,2.4000000000000004,31.0,0.54,,,7
Adam Humphries,27.13,WR,TEN,2020-11-01,Sun,2020,8,7.0,Away,CIN,L 20-31,0.0,12.0,0.19,,,8
Adam Shaheen,,TE,MIA,2020-09-13,Sun,2020,1,1.0,Away,NWE,L 11-21,,12.0,0.19,,,1
Adam Shaheen,25.332,TE,MIA,2020-09-20,Sun,2020,2,2.0,Home,BUF,L 28-31,0.9,18.0,0.24,,,2
Adam Shaheen,,TE,MIA,2020-09-24,Thu,2020,3,3.0,Away,JAX,W 31-13,,24.0,0.39,,,3
Adam Shaheen,25.346,TE,MIA,2020-10-04,Sun,2020,4,4.0,Home,SEA,L 23-31,0.0,20.0,0.28,,,4
Adam Shaheen,25.353,TE,MIA,2020-10-11,Sun,2020,5,5.0,Away,SFO,W 43-17,6.8,38.0,0.57,,,5
Adam Shaheen,25.36,TE,MIA,2020-10-18,Sun,2020,6,6.0,Home,NYJ,W 24-0,12.6,16.0,0.29,,,6
Adam Shaheen,,,,,,2020,7,,,,,,,,,,7
Adam Thielen,30.022,WR,MIN,2020-09-13,Sun,2020,1,1.0,Home,GNB,L 34-43,28.0,50.0,0.96,,,1
Adam Thielen,30.029,WR,MIN,2020-09-20,Sun,2020,2,2.0,Away,IND,L 11-28,4.6,48.0,0.89,,,2
Adam Thielen,30.036,WR,MIN,2020-09-27,Sun,2020,3,3.0,Home,TEN,L 30-31,10.8,61.0,0.92,,,3
Adam Thielen,30.043,WR,MIN,2020-10-04,Sun,2020,4,4.0,Away,HOU,W 31-23,22.2,59.0,0.89,,,4
Adam Thielen,30.05,WR,MIN,2020-10-11,Sun,2020,5,5.0,Away,SEA,L 26-27,24.8,81.0,0.92,,,5
Adam Thielen,30.057,WR,MIN,2020-10-18,Sun,2020,6,6.0,Home,ATL,L 23-40,12.6,52.0,0.93,,,6
Adam Thielen,,,,,,2020,7,,,,,,,,,,7
Adam Thielen,30.071,WR,MIN,2020-11-01,Sun,2020,8,7.0,Away,GNB,W 28-22,4.2,47.0,0.89,,,8
Adam Thielen,30.078,WR,MIN,2020-11-08,Sun,2020,9,8.0,Home,DET,W 34-20,4.800000000000001,50.0,0.86,,,9
Adam Thielen,30.086,WR,MIN,2020-11-16,Mon,2020,10,9.0,Away,CHI,W 19-13,18.3,72.0,0.97,,,10
Adam Thielen,30.092,WR,MIN,2020-11-22,Sun,2020,11,10.0,Home,DAL,L 28-31,28.3,57.0,0.88,,,11
Adarius Taylor,29.358,LB,CAR,2020-09-13,Sun,2020,1,1.0,Home,LVR,L 30-34,0.75,4.0,0.06,,,1
Adarius Taylor,29.365,LB,CAR,2020-09-20,Sun,2020,2,2.0,Away,TAM,L 17-31,2.25,4.0,0.07,,,2
Adarius Taylor,,,,,,2020,3,,,,,,,,,,3
Adarius Taylor,30.013,LB,CAR,2020-10-04,Sun,2020,4,4.0,Home,ARI,W 31-21,1.5,5.0,0.07,,,4
Adarius Taylor,30.02,LB,CAR,2020-10-11,Sun,2020,5,5.0,Away,ATL,W 23-16,0.75,9.0,0.14,,,5
Adarius Taylor,30.027,LB,CAR,2020-10-18,Sun,2020,6,6.0,Home,CHI,L 16-23,0.75,10.0,0.15,,,6
Adarius Taylor,30.034,LB,CAR,2020-10-25,Sun,2020,7,7.0,Away,NOR,L 24-27,11.0,18.0,0.26,,,7
Adarius Taylor,30.038,LB,CAR,2020-10-29,Thu,2020,8,8.0,Home,ATL,L 17-25,2.25,13.0,0.19,,,8
Adarius Taylor,,LB,CAR,2020-11-08,Sun,2020,9,9.0,Away,KAN,L 31-33,,17.0,0.27,,,9
Adrian Clayborn,32.069,DL,CLE,2020-09-13,Sun,2020,1,1.0,Away,BAL,L 6-38,11.0,32.0,0.54,,,1
Adrian Clayborn,32.073,DL,CLE,2020-09-17,Thu,2020,2,2.0,Home,CIN,W 35-30,8.25,18.0,0.2,,,2
Adrian Colbert,26.344,DB,NYG,2020-09-14,Mon,2020,1,1.0,Home,PIT,L 16-26,0.0,5.0,0.08,,,1
Ahkello Witherspoon,25.176,DB,SFO,2020-09-13,Sun,2020,1,1.0,Home,ARI,L 20-24,1.5,4.0,0.05,,,1
Ahkello Witherspoon,25.183,DB,SFO,2020-09-20,Sun,2020,2,2.0,Away,NYJ,W 31-13,6.0,65.0,1.0,,,2
Akiem Hicks,30.302,DL,CHI,2020-09-13,Sun,2020,1,1.0,Away,DET,W 27-23,12.75,55.0,0.71,,,1
Akiem Hicks,30.309,DL,CHI,2020-09-20,Sun,2020,2,2.0,Home,NYG,W 17-13,11.75,51.0,0.78,,,2
Akiem Hicks,30.316,DL,CHI,2020-09-27,Sun,2020,3,3.0,Away,ATL,W 30-26,13.25,56.0,0.81,,,3
Akiem Hicks,30.323,DL,CHI,2020-10-04,Sun,2020,4,4.0,Home,IND,L 11-19,8.75,55.0,0.75,,,4
Akiem Hicks,30.327,DL,CHI,2020-10-08,Thu,2020,5,5.0,Home,TAM,W 20-19,5.25,57.0,0.8,,,5
Akiem Hicks,30.337,DL,CHI,2020-10-18,Sun,2020,6,6.0,Away,CAR,W 23-16,9.0,59.0,0.87,,,6
Akiem Hicks,30.345,DL,CHI,2020-10-26,Mon,2020,7,7.0,Away,LAR,L 10-24,5.0,,,,,7
Akiem Hicks,30.351,DL,CHI,2020-11-01,Sun,2020,8,8.0,Home,NOR,L 23-26,3.75,68.0,0.92,,,8
Akiem Hicks,30.358,DL,CHI,2020-11-08,Sun,2020,9,9.0,Away,TEN,L 17-24,7.5,50.0,0.91,,,9
Akiem Hicks,31.0,DL,CHI,2020-11-16,Mon,2020,10,10.0,Home,MIN,L 13-19,5.25,38.0,0.51,,,10
Akiem Hicks,,,,,,2020,11,,,,,,,,,,11
