Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Aaron Burbridge,,,SFO,2017-12-17,Sun,2017,15,14.0,Home,TEN,W 25-23,,,,Injured Reserve,Hamstring
Aaron Burbridge,,,SFO,2017-12-24,Sun,2017,16,15.0,Home,JAX,W 44-33,,,,Injured Reserve,Hamstring
Aaron Burbridge,,,SFO,2017-12-31,Sun,2017,17,16.0,Away,LAR,W 34-13,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-09-10,Sun,2017,1,1.0,Away,DET,L 23-35,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-09-17,Sun,2017,2,2.0,Away,IND,W 16-13,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-09-25,Mon,2017,3,3.0,Home,DAL,L 17-28,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-10-01,Sun,2017,4,4.0,Home,SFO,W 18-15,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-10-08,Sun,2017,5,5.0,Away,PHI,L 7-34,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-10-15,Sun,2017,6,6.0,Home,TAM,W 38-33,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-10-22,Sun,2017,7,7.0,Away,LAR,L 0-33,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-11-05,Sun,2017,9,8.0,Away,SFO,W 20-10,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-11-09,Thu,2017,10,9.0,Home,SEA,L 16-22,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-11-19,Sun,2017,11,10.0,Away,HOU,L 21-31,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-11-26,Sun,2017,12,11.0,Home,JAX,W 27-24,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-12-03,Sun,2017,13,12.0,Home,LAR,L 16-32,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-12-10,Sun,2017,14,13.0,Home,TEN,W 12-7,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-12-17,Sun,2017,15,14.0,Away,WAS,L 15-20,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-12-24,Sun,2017,16,15.0,Home,NYG,W 23-0,,,,Injured Reserve,Hamstring
Aaron Dobson,,,ARI,2017-12-31,Sun,2017,17,16.0,Away,SEA,W 26-24,,,,Injured Reserve,Hamstring
Aaron Jones,,,GNB,2017-11-19,Sun,2017,11,10.0,Home,BAL,L 0-23,,,,Out,Knee
Aaron Jones,,,GNB,2017-11-26,Sun,2017,12,11.0,Away,PIT,L 28-31,,,,Out,Knee
Aaron Jones,23.001,RB,GNB,2017-12-03,Sun,2017,13,12.0,Home,TAM,W 26-20,8.0,2.0,0.04,Questionable,Knee
Aaron Jones,23.008,RB,GNB,2017-12-10,Sun,2017,14,13.0,Away,CLE,W 27-21,-0.2,8.0,0.11,,
Aaron Jones,23.015,RB,GNB,2017-12-17,Sun,2017,15,14.0,Away,CAR,L 24-31,5.800000000000001,26.0,0.38,,
Aaron Jones,23.021,RB,GNB,2017-12-23,Sat,2017,16,15.0,Home,MIN,L 0-16,1.3,4.0,0.06,,
Aaron Jones,,,GNB,2017-12-31,Sun,2017,17,16.0,Away,DET,L 11-35,,,,Out,Knee
Aaron Lynch,,,SFO,2017-09-10,Sun,2017,1,1.0,Home,CAR,L 3-23,,,,Questionable,Back
Aaron Lynch,24.221,LB,SFO,2017-09-17,Sun,2017,2,2.0,Away,SEA,L 9-12,7.5,30.0,30.0,,
Aaron Lynch,24.225,LB,SFO,2017-09-21,Thu,2017,3,3.0,Home,LAR,L 39-41,0.0,14.0,14.0,,
Aaron Lynch,24.235,LB,SFO,2017-10-01,Sun,2017,4,4.0,Away,ARI,L 15-18,3.5,25.0,25.0,,
Aaron Lynch,24.242,LB,SFO,2017-10-08,Sun,2017,5,5.0,Away,IND,L 23-26,2.25,22.0,22.0,,
Aaron Lynch,24.249,LB,SFO,2017-10-15,Sun,2017,6,6.0,Away,WAS,L 24-26,0.75,19.0,19.0,,
Aaron Lynch,,,SFO,2017-10-22,Sun,2017,7,7.0,Home,DAL,L 10-40,,,,Out,Calf
Aaron Lynch,,,SFO,2017-10-29,Sun,2017,8,8.0,Away,PHI,L 10-33,,,,Out,Calf
Aaron Lynch,,,SFO,2017-11-05,Sun,2017,9,9.0,Home,ARI,L 10-20,,,,Out,Calf
Aaron Lynch,,,SFO,2017-11-12,Sun,2017,10,10.0,Home,NYG,W 31-21,,,,Out,Calf
Aaron Lynch,24.305,LB,SFO,2017-12-10,Sun,2017,14,13.0,Away,HOU,W 26-16,8.5,27.0,27.0,,
Aaron Lynch,24.312,LB,SFO,2017-12-17,Sun,2017,15,14.0,Home,TEN,W 25-23,0.0,20.0,20.0,,
Aaron Rodgers,,,GNB,2017-10-22,Sun,2017,7,7.0,Home,NOR,L 17-26,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-11-06,Mon,2017,9,8.0,Home,DET,L 17-30,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-11-12,Sun,2017,10,9.0,Away,CHI,W 23-16,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-11-19,Sun,2017,11,10.0,Home,BAL,L 0-23,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-11-26,Sun,2017,12,11.0,Away,PIT,L 28-31,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-12-03,Sun,2017,13,12.0,Home,TAM,W 26-20,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-12-10,Sun,2017,14,13.0,Away,CLE,W 27-21,,,,Injured Reserve,Collarbone
Aaron Rodgers,34.015,QB,GNB,2017-12-17,Sun,2017,15,14.0,Away,CAR,L 24-31,24.9,69.0,1.0,,
Aaron Rodgers,,,GNB,2017-12-23,Sat,2017,16,15.0,Home,MIN,L 0-16,,,,Injured Reserve,Collarbone
Aaron Rodgers,,,GNB,2017-12-31,Sun,2017,17,16.0,Away,DET,L 11-35,,,,Injured Reserve,Collarbone
Aaron Wallace,,,TEN,2017-09-24,Sun,2017,3,3.0,Home,SEA,W 33-27,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-10-01,Sun,2017,4,4.0,Away,HOU,L 14-57,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-10-08,Sun,2017,5,5.0,Away,MIA,L 10-16,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-10-16,Mon,2017,6,6.0,Home,IND,W 36-22,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-10-22,Sun,2017,7,7.0,Away,CLE,W 12-9,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-11-05,Sun,2017,9,8.0,Home,BAL,W 23-20,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-11-12,Sun,2017,10,9.0,Home,CIN,W 24-20,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-11-16,Thu,2017,11,10.0,Away,PIT,L 17-40,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-11-26,Sun,2017,12,11.0,Away,IND,W 20-16,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-12-03,Sun,2017,13,12.0,Home,HOU,W 24-13,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-12-10,Sun,2017,14,13.0,Away,ARI,L 7-12,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-12-17,Sun,2017,15,14.0,Away,SFO,L 23-25,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-12-24,Sun,2017,16,15.0,Home,LAR,L 23-27,,,,Injured Reserve,Back
Aaron Wallace,,,TEN,2017-12-31,Sun,2017,17,16.0,Home,JAX,W 15-10,,,,Injured Reserve,Back
Abry Jones,,,JAX,2017-12-31,Sun,2017,17,16.0,Away,TEN,L 10-15,,,,Questionable,Back
Adam Gettis,,,NYG,2017-09-10,Sun,2017,1,1.0,Away,DAL,L 3-19,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-09-18,Mon,2017,2,2.0,Home,DET,L 10-24,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-09-24,Sun,2017,3,3.0,Away,PHI,L 24-27,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-10-01,Sun,2017,4,4.0,Away,TAM,L 23-25,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-10-08,Sun,2017,5,5.0,Home,LAC,L 22-27,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-10-15,Sun,2017,6,6.0,Away,DEN,W 23-10,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-10-22,Sun,2017,7,7.0,Home,SEA,L 7-24,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-11-05,Sun,2017,9,8.0,Home,LAR,L 17-51,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-11-12,Sun,2017,10,9.0,Away,SFO,L 21-31,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-11-19,Sun,2017,11,10.0,Home,KAN,W 12-9,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-11-23,Thu,2017,12,11.0,Away,WAS,L 10-20,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-12-03,Sun,2017,13,12.0,Away,OAK,L 17-24,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-12-10,Sun,2017,14,13.0,Home,DAL,L 10-30,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-12-17,Sun,2017,15,14.0,Home,PHI,L 29-34,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-12-24,Sun,2017,16,15.0,Away,ARI,L 0-23,,,,Injured Reserve,Foot
Adam Gettis,,,NYG,2017-12-31,Sun,2017,17,16.0,Home,WAS,W 18-10,,,,Injured Reserve,Foot
Adam Gotsis,25.064,DE,DEN,2017-11-26,Sun,2017,12,11.0,Away,OAK,L 14-21,0.0,40.0,40.0,Questionable,Ankle
Adam Gotsis,25.071,DE,DEN,2017-12-03,Sun,2017,13,12.0,Away,MIA,L 9-35,6.5,46.0,46.0,,
Adam Gotsis,25.078,DE,DEN,2017-12-10,Sun,2017,14,13.0,Home,NYJ,W 23-0,12.5,25.0,25.0,Questionable,Illness
Adam Gotsis,25.082,DE,DEN,2017-12-14,Thu,2017,15,14.0,Away,IND,W 25-13,9.5,40.0,40.0,,
Adam Gotsis,25.092,DE,DEN,2017-12-24,Sun,2017,16,15.0,Away,WAS,L 11-27,0.0,51.0,51.0,,
Adam Gotsis,25.099,DE,DEN,2017-12-31,Sun,2017,17,16.0,Home,KAN,L 24-27,2.25,32.0,32.0,,
Adam Humphries,24.134,WR,TAM,2017-11-05,Sun,2017,9,8.0,Away,NOR,L 10-30,2.4000000000000004,34.0,0.58,Questionable,Rib
Adam Humphries,24.141,WR,TAM,2017-11-12,Sun,2017,10,9.0,Home,NYJ,W 15-10,2.7,46.0,0.65,,
Adam Humphries,24.148,WR,TAM,2017-11-19,Sun,2017,11,10.0,Away,MIA,W 30-20,2.1,33.0,0.5,,
Adam Humphries,24.155,WR,TAM,2017-11-26,Sun,2017,12,11.0,Away,ATL,L 20-34,5.800000000000001,43.0,0.61,,
Adam Humphries,24.162,WR,TAM,2017-12-03,Sun,2017,13,12.0,Away,GNB,L 20-26,5.300000000000001,42.0,0.55,,
Adam Humphries,24.169,WR,TAM,2017-12-10,Sun,2017,14,13.0,Home,DET,L 21-24,4.0,38.0,0.54,,
