Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Charles Clay,28.286,TE,BUF,2017-11-26,Sun,2017,12,11.0,Away,KAN,W 16-10,8.0,45.0,0.65,Questionable,Knee
Charles Clay,28.293,TE,BUF,2017-12-03,Sun,2017,13,12.0,Home,NWE,L 3-23,3.5,44.0,0.66,Questionable,Knee
Charles Clay,28.3,TE,BUF,2017-12-10,Sun,2017,14,13.0,Home,IND,W 13-7,2.1,58.0,0.87,,
Charles Clay,28.307,TE,BUF,2017-12-17,Sun,2017,15,14.0,Home,MIA,W 24-16,9.3,47.0,0.76,,
Charles Clay,28.314,TE,BUF,2017-12-24,Sun,2017,16,15.0,Away,NWE,L 16-37,5.7,51.0,0.73,,
Charles Clay,28.321,TE,BUF,2017-12-31,Sun,2017,17,16.0,Away,MIA,W 22-16,9.4,44.0,0.66,,
Charles Gaines,,,JAX,2017-09-10,Sun,2017,1,1.0,Away,HOU,W 29-7,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-09-17,Sun,2017,2,2.0,Home,TEN,L 16-37,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-09-24,Sun,2017,3,3.0,Home,BAL,W 44-7,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-10-01,Sun,2017,4,4.0,Away,NYJ,L 20-23,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-10-08,Sun,2017,5,5.0,Away,PIT,W 30-9,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-10-15,Sun,2017,6,6.0,Home,LAR,L 17-27,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-10-22,Sun,2017,7,7.0,Away,IND,W 27-0,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-11-05,Sun,2017,9,8.0,Home,CIN,W 23-7,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-11-12,Sun,2017,10,9.0,Home,LAC,W 20-17,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-11-19,Sun,2017,11,10.0,Away,CLE,W 19-7,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-11-26,Sun,2017,12,11.0,Away,ARI,L 24-27,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-12-03,Sun,2017,13,12.0,Home,IND,W 30-10,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-12-10,Sun,2017,14,13.0,Home,SEA,W 30-24,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-12-17,Sun,2017,15,14.0,Home,HOU,W 45-7,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-12-24,Sun,2017,16,15.0,Away,SFO,L 33-44,,,,Injured Reserve,Eye
Charles Gaines,,,JAX,2017-12-31,Sun,2017,17,16.0,Away,TEN,L 10-15,,,,Injured Reserve,Eye
Charles Harris,22.3,DE,MIA,2017-12-31,Sun,2017,17,16.0,Home,BUF,L 16-22,0.0,2.0,2.0,Questionable,Thigh
Charles Johnson,31.062,DE,CAR,2017-09-10,Sun,2017,1,1.0,Away,SFO,W 23-3,0.0,28.0,28.0,Injured Reserve,Back
Charles Johnson,31.069,DE,CAR,2017-09-17,Sun,2017,2,2.0,Home,BUF,W 9-3,3.0,29.0,29.0,Injured Reserve,Back
Charles Johnson,31.076,DE,CAR,2017-09-24,Sun,2017,3,3.0,Home,NOR,L 13-34,1.5,31.0,31.0,Injured Reserve,Back
Charles Johnson,31.083,DE,CAR,2017-10-01,Sun,2017,4,4.0,Away,NWE,W 33-30,0.0,36.0,36.0,Injured Reserve,Back
Charles Johnson,31.09,DE,CAR,2017-10-08,Sun,2017,5,5.0,Away,DET,W 27-24,0.75,36.0,36.0,Injured Reserve,Back
Charles Johnson,31.094,DE,CAR,2017-10-12,Thu,2017,6,6.0,Home,PHI,L 23-28,3.0,43.0,43.0,Injured Reserve,Back
Charles Johnson,31.104,DE,CAR,2017-10-22,Sun,2017,7,7.0,Away,CHI,L 3-17,0.0,25.0,25.0,Injured Reserve,Back
Charles Johnson,31.104,DE,CAR,2017-10-22,Sun,2017,7,7.0,Away,CHI,L 3-17,0.0,25.0,25.0,Questionable,Groin
Charles Johnson,31.111,DE,CAR,2017-10-29,Sun,2017,8,8.0,Away,TAM,W 17-3,0.0,37.0,37.0,Injured Reserve,Back
Charles Johnson,31.118,DE,CAR,2017-11-05,Sun,2017,9,9.0,Home,ATL,W 20-17,3.0,31.0,31.0,Injured Reserve,Back
Charles Johnson,31.126,DE,CAR,2017-11-13,Mon,2017,10,10.0,Home,MIA,W 45-21,3.0,32.0,32.0,Injured Reserve,Back
Charles Johnson,31.139,DE,CAR,2017-11-26,Sun,2017,12,11.0,Away,NYJ,W 35-27,2.25,44.0,44.0,Injured Reserve,Back
Charles Johnson,,,CAR,2017-12-03,Sun,2017,13,12.0,Away,NOR,L 21-31,,,,Injured Reserve,Back
Charles Johnson,,,CAR,2017-12-03,Sun,2017,13,12.0,Away,NOR,L 21-31,,,,Injured Reserve,Knee
Charles Johnson,,,CAR,2017-12-10,Sun,2017,14,13.0,Home,MIN,W 31-24,,,,Injured Reserve,Back
Charles Johnson,,,CAR,2017-12-10,Sun,2017,14,13.0,Home,MIN,W 31-24,,,,Injured Reserve,Knee
Charles Johnson,,,CAR,2017-12-17,Sun,2017,15,14.0,Home,GNB,W 31-24,,,,Injured Reserve,Back
Charles Johnson,,,CAR,2017-12-17,Sun,2017,15,14.0,Home,GNB,W 31-24,,,,Injured Reserve,Knee
Charles Johnson,,,CAR,2017-12-24,Sun,2017,16,15.0,Home,TAM,W 22-19,,,,Injured Reserve,Back
Charles Johnson,,,CAR,2017-12-24,Sun,2017,16,15.0,Home,TAM,W 22-19,,,,Injured Reserve,Knee
Charles Johnson,31.174,DE,CAR,2017-12-31,Sun,2017,17,16.0,Away,ATL,L 10-22,0.0,17.0,17.0,Injured Reserve,Back
Charles Tapper,,,DAL,2017-10-08,Sun,2017,5,5.0,Home,GNB,L 31-35,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-10-22,Sun,2017,7,6.0,Away,SFO,W 40-10,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-10-29,Sun,2017,8,7.0,Away,WAS,W 33-19,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-11-05,Sun,2017,9,8.0,Home,KAN,W 28-17,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-11-12,Sun,2017,10,9.0,Away,ATL,L 7-27,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-11-19,Sun,2017,11,10.0,Home,PHI,L 9-37,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-11-23,Thu,2017,12,11.0,Home,LAC,L 6-28,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-11-30,Thu,2017,13,12.0,Home,WAS,W 38-14,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-12-10,Sun,2017,14,13.0,Away,NYG,W 30-10,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-12-17,Sun,2017,15,14.0,Away,OAK,W 20-17,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-12-24,Sun,2017,16,15.0,Home,SEA,L 12-21,,,,Injured Reserve,Foot
Charles Tapper,,,DAL,2017-12-31,Sun,2017,17,16.0,Away,PHI,W 6-0,,,,Injured Reserve,Foot
Charmeachealle Moore,,,LAC,2017-09-11,Mon,2017,1,1.0,Away,DEN,L 21-24,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-09-17,Sun,2017,2,2.0,Home,MIA,L 17-19,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-09-24,Sun,2017,3,3.0,Home,KAN,L 10-24,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-10-01,Sun,2017,4,4.0,Home,PHI,L 24-26,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-10-08,Sun,2017,5,5.0,Away,NYG,W 27-22,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-10-15,Sun,2017,6,6.0,Away,OAK,W 17-16,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-10-22,Sun,2017,7,7.0,Home,DEN,W 21-0,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-10-29,Sun,2017,8,8.0,Away,NWE,L 13-21,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-11-12,Sun,2017,10,9.0,Away,JAX,L 17-20,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-11-19,Sun,2017,11,10.0,Home,BUF,W 54-24,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-11-23,Thu,2017,12,11.0,Away,DAL,W 28-6,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-12-03,Sun,2017,13,12.0,Home,CLE,W 19-10,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-12-10,Sun,2017,14,13.0,Home,WAS,W 30-13,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-12-16,Sat,2017,15,14.0,Away,KAN,L 13-30,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-12-24,Sun,2017,16,15.0,Away,NYJ,W 14-7,,,,Injured Reserve,Undisclosed
Charmeachealle Moore,,,LAC,2017-12-31,Sun,2017,17,16.0,Home,OAK,W 30-10,,,,Injured Reserve,Undisclosed
Charone Peake,,,NYJ,2017-10-01,Sun,2017,4,4.0,Home,JAX,W 23-20,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-10-08,Sun,2017,5,5.0,Away,CLE,W 17-14,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-10-15,Sun,2017,6,6.0,Home,NWE,L 17-24,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-10-22,Sun,2017,7,7.0,Away,MIA,L 28-31,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-10-29,Sun,2017,8,8.0,Home,ATL,L 20-25,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-11-02,Thu,2017,9,9.0,Home,BUF,W 34-21,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-11-12,Sun,2017,10,10.0,Away,TAM,L 10-15,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-11-26,Sun,2017,12,11.0,Home,CAR,L 27-35,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-12-03,Sun,2017,13,12.0,Home,KAN,W 38-31,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-12-10,Sun,2017,14,13.0,Away,DEN,L 0-23,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-12-17,Sun,2017,15,14.0,Away,NOR,L 19-31,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-12-24,Sun,2017,16,15.0,Home,LAC,L 7-14,,,,Injured Reserve,Ankle
Charone Peake,,,NYJ,2017-12-31,Sun,2017,17,16.0,Away,NWE,L 6-26,,,,Injured Reserve,Ankle
Chase Allen,24.033,LB,MIA,2017-10-01,Sun,2017,4,3.0,Home,NOR,L 0-20,3.0,3.0,3.0,Questionable,Neck
Chase Allen,24.04,LB,MIA,2017-10-08,Sun,2017,5,4.0,Home,TEN,W 16-10,0.0,,,,
Chase Allen,24.047,LB,MIA,2017-10-15,Sun,2017,6,5.0,Away,ATL,W 20-17,0.75,,,,
Chase Allen,24.054,LB,MIA,2017-10-22,Sun,2017,7,6.0,Home,NYJ,W 31-28,0.0,1.0,1.0,,
Chase Allen,24.058,LB,MIA,2017-10-26,Thu,2017,8,7.0,Away,BAL,L 0-40,4.5,5.0,5.0,,
Chase Allen,24.068,LB,MIA,2017-11-05,Sun,2017,9,8.0,Home,OAK,L 24-27,0.0,1.0,1.0,,
Chase Allen,24.076,LB,MIA,2017-11-13,Mon,2017,10,9.0,Away,CAR,L 21-45,0.0,3.0,3.0,,
Chase Allen,24.082,LB,MIA,2017-11-19,Sun,2017,11,10.0,Home,TAM,L 20-30,0.0,30.0,30.0,,
Chase Allen,24.089,LB,MIA,2017-11-26,Sun,2017,12,11.0,Away,NWE,L 17-35,4.5,21.0,21.0,,
Chase Allen,24.096,LB,MIA,2017-12-03,Sun,2017,13,12.0,Home,DEN,W 35-9,7.75,25.0,25.0,,
Chase Allen,24.104,LB,MIA,2017-12-11,Mon,2017,14,13.0,Home,NWE,W 27-20,4.5,10.0,10.0,,
Chase Allen,24.11,LB,MIA,2017-12-17,Sun,2017,15,14.0,Away,BUF,L 16-24,3.75,34.0,34.0,,
Chase Allen,24.117,LB,MIA,2017-12-24,Sun,2017,16,15.0,Away,KAN,L 13-29,1.5,10.0,10.0,,
Chase Allen,24.124,LB,MIA,2017-12-31,Sun,2017,17,16.0,Home,BUF,L 16-22,11.0,36.0,36.0,,
Chase Farris,,,NWE,2017-09-07,Thu,2017,1,1.0,Home,KAN,L 27-42,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-09-17,Sun,2017,2,2.0,Away,NOR,W 36-20,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-09-24,Sun,2017,3,3.0,Home,HOU,W 36-33,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-10-01,Sun,2017,4,4.0,Home,CAR,L 30-33,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-10-05,Thu,2017,5,5.0,Away,TAM,W 19-14,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-10-15,Sun,2017,6,6.0,Away,NYJ,W 24-17,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-10-22,Sun,2017,7,7.0,Home,ATL,W 23-7,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-10-29,Sun,2017,8,8.0,Home,LAC,W 21-13,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-11-12,Sun,2017,10,9.0,Away,DEN,W 41-16,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-11-19,Sun,2017,11,10.0,Away,OAK,W 33-8,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-11-26,Sun,2017,12,11.0,Home,MIA,W 35-17,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-12-03,Sun,2017,13,12.0,Away,BUF,W 23-3,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-12-11,Mon,2017,14,13.0,Away,MIA,L 20-27,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-12-17,Sun,2017,15,14.0,Away,PIT,W 27-24,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-12-24,Sun,2017,16,15.0,Home,BUF,W 37-16,,,,Injured Reserve,Achilles
Chase Farris,,,NWE,2017-12-31,Sun,2017,17,16.0,Home,NYJ,W 26-6,,,,Injured Reserve,Achilles
Chase Roullier,,,WAS,2017-11-23,Thu,2017,12,11.0,Home,NYG,W 20-10,,,,Out,Hand
Chase Roullier,,,WAS,2017-11-30,Thu,2017,13,12.0,Away,DAL,L 14-38,,,,Out,Hand
Chase Roullier,,,WAS,2017-12-10,Sun,2017,14,13.0,Away,LAC,L 13-30,,,,Questionable,Hand
Chase Roullier,24.116,C,WAS,2017-12-17,Sun,2017,15,14.0,Home,ARI,W 20-15,0.0,,,Questionable,Hand
Chase Roullier,24.123,C,WAS,2017-12-24,Sun,2017,16,15.0,Home,DEN,W 27-11,0.0,,,,
Chase Roullier,24.13,C,WAS,2017-12-31,Sun,2017,17,16.0,Away,NYG,L 10-18,0.0,,,,
Chaz Green,,,DAL,2017-10-01,Sun,2017,4,4.0,Home,LAR,L 30-35,,,,Questionable,Hip
Chaz Green,25.183,G,DAL,2017-10-08,Sun,2017,5,5.0,Home,GNB,L 31-35,0.0,,,,
Chaz Green,25.197,G,DAL,2017-10-22,Sun,2017,7,6.0,Away,SFO,W 40-10,0.0,,,,
Chaz Green,25.204,G,DAL,2017-10-29,Sun,2017,8,7.0,Away,WAS,W 33-19,0.0,,,,
Chaz Green,25.211,G,DAL,2017-11-05,Sun,2017,9,8.0,Home,KAN,W 28-17,0.0,,,,
Chaz Green,25.218,LT,DAL,2017-11-12,Sun,2017,10,9.0,Away,ATL,L 7-27,0.0,,,,
Chaz Green,25.225,G,DAL,2017-11-19,Sun,2017,11,10.0,Home,PHI,L 9-37,0.0,,,,
Chaz Green,25.236,G,DAL,2017-11-30,Thu,2017,13,12.0,Home,WAS,W 38-14,0.0,,,,
Chaz Green,25.246,G,DAL,2017-12-10,Sun,2017,14,13.0,Away,NYG,W 30-10,0.0,,,,
Chaz Green,25.253,G,DAL,2017-12-17,Sun,2017,15,14.0,Away,OAK,W 20-17,0.0,,,,
Chaz Green,25.26,G,DAL,2017-12-24,Sun,2017,16,15.0,Home,SEA,L 12-21,0.0,,,,
Chaz Green,25.267,G,DAL,2017-12-31,Sun,2017,17,16.0,Away,PHI,W 6-0,0.0,,,,
Chester Rogers,,,IND,2017-09-10,Sun,2017,1,1.0,Away,LAR,L 9-46,,,,Out,Hamstring
Chester Rogers,,,IND,2017-09-17,Sun,2017,2,2.0,Home,ARI,L 13-16,,,,Questionable,Hamstring
Chester Rogers,,,IND,2017-09-24,Sun,2017,3,3.0,Home,CLE,W 31-28,,,,Out,Hamstring
Chester Rogers,,,IND,2017-10-01,Sun,2017,4,4.0,Away,SEA,L 18-46,,,,Out,Hamstring
Chester Rogers,,,IND,2017-10-08,Sun,2017,5,5.0,Home,SFO,W 26-23,,,,Questionable,Hamstring
Chester Rogers,23.277,WR,IND,2017-10-16,Mon,2017,6,6.0,Away,TEN,L 22-36,0.0,7.0,0.12,,
Chester Rogers,23.283,WR,IND,2017-10-22,Sun,2017,7,7.0,Home,JAX,L 0-27,3.1,34.0,0.51,,
Chester Rogers,23.29,WR,IND,2017-10-29,Sun,2017,8,8.0,Away,CIN,L 23-24,1.9,26.0,0.35,,
Chester Rogers,23.297,WR,IND,2017-11-05,Sun,2017,9,9.0,Away,HOU,W 20-14,2.2,15.0,0.23,,
Chester Rogers,23.304,WR,IND,2017-11-12,Sun,2017,10,10.0,Home,PIT,L 17-20,19.7,42.0,0.7,,
Chester Rogers,23.318,WR,IND,2017-11-26,Sun,2017,12,11.0,Home,TEN,L 16-20,4.9,41.0,0.65,,
Chester Rogers,23.325,WR,IND,2017-12-03,Sun,2017,13,12.0,Away,JAX,L 10-30,5.3,54.0,0.78,,
Chester Rogers,23.332,WR,IND,2017-12-10,Sun,2017,14,13.0,Away,BUF,L 7-13,1.6,66.0,0.93,,
Chester Rogers,23.336,WR,IND,2017-12-14,Thu,2017,15,14.0,Home,DEN,L 13-25,0.7000000000000001,53.0,0.98,,
Chester Rogers,23.345,WR,IND,2017-12-23,Sat,2017,16,15.0,Away,BAL,L 16-23,2.4000000000000004,58.0,0.94,,
Chester Rogers,23.353,WR,IND,2017-12-31,Sun,2017,17,16.0,Home,HOU,W 22-13,4.9,51.0,0.8,,
Chidobe Awuzie,,,DAL,2017-09-25,Mon,2017,3,3.0,Away,ARI,W 28-17,,,,Out,Hamstring
Chidobe Awuzie,,,DAL,2017-10-01,Sun,2017,4,4.0,Home,LAR,L 30-35,,,,Questionable,Hamstring
Chidobe Awuzie,22.137,CB,DAL,2017-10-08,Sun,2017,5,5.0,Home,GNB,L 31-35,2.25,9.0,9.0,,
Chidobe Awuzie,,,DAL,2017-10-22,Sun,2017,7,6.0,Away,SFO,W 40-10,,,,Out,Hamstring
Chidobe Awuzie,,,DAL,2017-10-29,Sun,2017,8,7.0,Away,WAS,W 33-19,,,,Out,Hamstring
Chidobe Awuzie,,,DAL,2017-11-05,Sun,2017,9,8.0,Home,KAN,W 28-17,,,,Out,Hamstring
Chidobe Awuzie,,,DAL,2017-11-12,Sun,2017,10,9.0,Away,ATL,L 7-27,,,,Questionable,Hamstring
Chidobe Awuzie,22.179,CB,DAL,2017-11-19,Sun,2017,11,10.0,Home,PHI,L 9-37,0.0,,,,
Chidobe Awuzie,22.183,CB,DAL,2017-11-23,Thu,2017,12,11.0,Home,LAC,L 6-28,0.75,5.0,5.0,,
Chidobe Awuzie,22.19,CB,DAL,2017-11-30,Thu,2017,13,12.0,Home,WAS,W 38-14,7.5,53.0,53.0,,
Chidobe Awuzie,22.2,CB,DAL,2017-12-10,Sun,2017,14,13.0,Away,NYG,W 30-10,6.75,58.0,58.0,,
Chidobe Awuzie,22.207,CB,DAL,2017-12-17,Sun,2017,15,14.0,Away,OAK,W 20-17,12.25,53.0,53.0,,
Chidobe Awuzie,22.214,CB,DAL,2017-12-24,Sun,2017,16,15.0,Home,SEA,L 12-21,5.25,57.0,57.0,,
Chidobe Awuzie,22.221,CB,DAL,2017-12-31,Sun,2017,17,16.0,Away,PHI,W 6-0,10.5,31.0,31.0,,
Chris Baker,,,TAM,2017-09-24,Sun,2017,3,2.0,Away,MIN,L 17-34,,,,Doubtful,Illness
Chris Baker,29.358,DE,TAM,2017-10-01,Sun,2017,4,3.0,Home,NYG,W 25-23,1.5,22.0,22.0,,
Chris Baker,29.362,DE,TAM,2017-10-05,Thu,2017,5,4.0,Home,NWE,L 14-19,3.75,30.0,30.0,,
Chris Baker,30.007,DE,TAM,2017-10-15,Sun,2017,6,5.0,Away,ARI,L 33-38,10.75,33.0,33.0,,
Chris Baker,30.014,DE,TAM,2017-10-22,Sun,2017,7,6.0,Away,BUF,L 27-30,5.25,30.0,30.0,,
Chris Baker,30.021,DE,TAM,2017-10-29,Sun,2017,8,7.0,Home,CAR,L 3-17,6.0,35.0,35.0,Questionable,Ankle
Chris Baker,30.028,DE,TAM,2017-11-05,Sun,2017,9,8.0,Away,NOR,L 10-30,1.5,36.0,36.0,Questionable,Ankle
Chris Baker,30.035,DE,TAM,2017-11-12,Sun,2017,10,9.0,Home,NYJ,W 15-10,4.5,29.0,29.0,,
Chris Baker,30.042,DE,TAM,2017-11-19,Sun,2017,11,10.0,Away,MIA,W 30-20,1.5,32.0,32.0,,
Chris Baker,30.049,DE,TAM,2017-11-26,Sun,2017,12,11.0,Away,ATL,L 20-34,6.0,34.0,34.0,,
Chris Baker,30.056,DE,TAM,2017-12-03,Sun,2017,13,12.0,Away,GNB,L 20-26,4.25,32.0,32.0,,
Chris Baker,30.063,DE,TAM,2017-12-10,Sun,2017,14,13.0,Home,DET,L 21-24,0.75,43.0,43.0,,
Chris Baker,30.071,DE,TAM,2017-12-18,Mon,2017,15,14.0,Home,ATL,L 21-24,1.5,37.0,37.0,,
Chris Baker,30.077,DE,TAM,2017-12-24,Sun,2017,16,15.0,Away,CAR,L 19-22,3.0,28.0,28.0,,
Chris Baker,30.084,DE,TAM,2017-12-31,Sun,2017,17,16.0,Home,NOR,W 31-24,1.5,9.0,9.0,,
Chris Barker,,,CLE,2017-09-10,Sun,2017,1,1.0,Home,PIT,L 18-21,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-09-17,Sun,2017,2,2.0,Away,BAL,L 10-24,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-09-24,Sun,2017,3,3.0,Away,IND,L 28-31,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-10-01,Sun,2017,4,4.0,Home,CIN,L 7-31,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-10-08,Sun,2017,5,5.0,Home,NYJ,L 14-17,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-10-15,Sun,2017,6,6.0,Away,HOU,L 17-33,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-10-22,Sun,2017,7,7.0,Home,TEN,L 9-12,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-10-29,Sun,2017,8,8.0,Home,MIN,L 16-33,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-11-12,Sun,2017,10,9.0,Away,DET,L 24-38,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-11-19,Sun,2017,11,10.0,Home,JAX,L 7-19,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-11-26,Sun,2017,12,11.0,Away,CIN,L 16-30,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-12-03,Sun,2017,13,12.0,Away,LAC,L 10-19,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-12-10,Sun,2017,14,13.0,Home,GNB,L 21-27,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-12-17,Sun,2017,15,14.0,Home,BAL,L 10-27,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-12-24,Sun,2017,16,15.0,Away,CHI,L 3-20,,,,Injured Reserve,Achilles
Chris Barker,,,CLE,2017-12-31,Sun,2017,17,16.0,Away,PIT,L 24-28,,,,Injured Reserve,Achilles
Chris Briggs,,,IND,2017-09-10,Sun,2017,1,1.0,Away,LAR,L 9-46,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-09-17,Sun,2017,2,2.0,Home,ARI,L 13-16,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-09-24,Sun,2017,3,3.0,Home,CLE,W 31-28,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-10-01,Sun,2017,4,4.0,Away,SEA,L 18-46,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-10-08,Sun,2017,5,5.0,Home,SFO,W 26-23,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-10-16,Mon,2017,6,6.0,Away,TEN,L 22-36,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-10-22,Sun,2017,7,7.0,Home,JAX,L 0-27,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-10-29,Sun,2017,8,8.0,Away,CIN,L 23-24,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-11-05,Sun,2017,9,9.0,Away,HOU,W 20-14,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-11-12,Sun,2017,10,10.0,Home,PIT,L 17-20,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-11-26,Sun,2017,12,11.0,Home,TEN,L 16-20,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-12-03,Sun,2017,13,12.0,Away,JAX,L 10-30,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-12-10,Sun,2017,14,13.0,Away,BUF,L 7-13,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-12-14,Thu,2017,15,14.0,Home,DEN,L 13-25,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-12-23,Sat,2017,16,15.0,Away,BAL,L 16-23,,,,Injured Reserve,Undisclosed
Chris Briggs,,,IND,2017-12-31,Sun,2017,17,16.0,Home,HOU,W 22-13,,,,Injured Reserve,Undisclosed
Chris Carson,,,SEA,2017-10-08,Sun,2017,5,5.0,Away,LAR,W 16-10,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-10-22,Sun,2017,7,6.0,Away,NYG,W 24-7,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-10-29,Sun,2017,8,7.0,Home,HOU,W 41-38,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-11-05,Sun,2017,9,8.0,Home,WAS,L 14-17,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-11-09,Thu,2017,10,9.0,Away,ARI,W 22-16,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-11-20,Mon,2017,11,10.0,Home,ATL,L 31-34,,,,Injured Reserve,Knee
Chris Carson,,,SEA,2017-11-26,Sun,2017,12,11.0,Away,SFO,W 24-13,,,,Injured Reserve,Knee
