Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Inj_Week
A'Shawn Robinson,24.207,DL,DET,2019-10-14,Mon,2019,6,5.0,Away,GNB,L 22-23,13.0,50.0,0.67,Questionable,Knee,1
A'Shawn Robinson,24.213,DL,DET,2019-10-20,Sun,2019,7,6.0,Home,MIN,L 30-42,5.0,50.0,0.68,,,2
A'Shawn Robinson,,DL,DET,2019-10-27,Sun,2019,8,7.0,Home,NYG,W 31-26,,38.0,0.51,,,3
A'Shawn Robinson,24.227,DL,DET,2019-11-03,Sun,2019,9,8.0,Away,OAK,L 24-31,1.5,33.0,0.47,Questionable,Knee,4
A'Shawn Robinson,24.234,DL,DET,2019-11-10,Sun,2019,10,9.0,Away,CHI,L 13-20,4.5,28.0,0.5,Questionable,Ankle,5
A'Shawn Robinson,24.241,DL,DET,2019-11-17,Sun,2019,11,10.0,Home,DAL,L 27-35,2.25,54.0,0.73,,,6
A'Shawn Robinson,24.248,DL,DET,2019-11-24,Sun,2019,12,11.0,Away,WAS,L 16-19,13.5,41.0,0.71,,,7
A'Shawn Robinson,24.252,DL,DET,2019-11-28,Thu,2019,13,12.0,Home,CHI,L 20-24,3.75,34.0,0.52,,,8
A'Shawn Robinson,24.262,DL,DET,2019-12-08,Sun,2019,14,13.0,Away,MIN,L 7-20,9.75,41.0,0.57,,,9
A'Shawn Robinson,,DL,DET,2019-12-15,Sun,2019,15,14.0,Home,TAM,L 17-38,,,,Out,Shoulder,10
A'Shawn Robinson,,DL,DET,2019-12-22,Sun,2019,16,15.0,Away,DEN,L 17-27,,,,Out,Shoulder,11
A'Shawn Robinson,,DL,DET,2019-12-29,Sun,2019,17,16.0,Home,GNB,L 20-23,,,,Out,Shoulder,12
AJ Bouye,,DB,JAX,2019-09-15,Sun,2019,2,2.0,Away,HOU,L 12-13,,,,Questionable,Hip,1
AJ Bouye,28.034,DB,JAX,2019-09-19,Thu,2019,3,3.0,Home,TEN,W 20-7,6.0,78.0,0.99,Questionable,Hip,2
AJ Bouye,28.044,DB,JAX,2019-09-29,Sun,2019,4,4.0,Away,DEN,W 26-24,6.75,55.0,1.0,,,3
AJ Bouye,28.051,DB,JAX,2019-10-06,Sun,2019,5,5.0,Away,CAR,L 27-34,6.75,63.0,1.0,,,4
AJ Bouye,28.058,DB,JAX,2019-10-13,Sun,2019,6,6.0,Home,NOR,L 6-13,6.75,66.0,1.0,,,5
AJ Bouye,28.065,DB,JAX,2019-10-20,Sun,2019,7,7.0,Away,CIN,W 27-17,10.5,70.0,0.99,,,6
AJ Bouye,28.072,DB,JAX,2019-10-27,Sun,2019,8,8.0,Home,NYJ,W 29-15,14.25,58.0,1.0,,,7
AJ Bouye,28.079,DB,JAX,2019-11-03,Sun,2019,9,9.0,Home,HOU,L 3-26,11.25,69.0,1.0,,,8
AJ Bouye,,,,,,2019,10,,,,,,,,,,9
AJ Bouye,28.093,DB,JAX,2019-11-17,Sun,2019,11,10.0,Away,IND,L 13-33,9.0,66.0,0.99,,,10
AJ Bouye,28.1,DB,JAX,2019-11-24,Sun,2019,12,11.0,Away,TEN,L 20-42,4.5,53.0,0.95,,,11
AJ Bouye,28.107,DB,JAX,2019-12-01,Sun,2019,13,12.0,Home,TAM,L 11-28,6.75,74.0,0.99,,,12
AJ Bouye,28.114,DB,JAX,2019-12-08,Sun,2019,14,13.0,Home,LAC,L 10-45,3.75,60.0,1.0,,,13
AJ Bouye,28.121,DB,JAX,2019-12-15,Sun,2019,15,14.0,Away,OAK,W 20-16,3.0,75.0,1.0,,,14
AJ Bouye,28.128,DB,JAX,2019-12-22,Sun,2019,16,15.0,Away,ATL,L 12-24,12.5,75.0,0.99,,,15
AJ Bouye,,DB,JAX,2019-12-29,Sun,2019,17,16.0,Home,IND,W 38-20,,,,Out,Wrist,16
AJ Cole,23.292,P,OAK,2019-09-15,Sun,2019,2,2.0,Home,KAN,L 10-28,0.0,,,Questionable, Foot,1
AJ Cole,23.299,P,OAK,2019-09-22,Sun,2019,3,3.0,Away,MIN,L 14-34,0.0,,,,,2
