Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
Adam Shaheen,25.003,TE,CHI,2019-10-27,Sun,2019,8,7.0,Home,LAC,L 16-17,0.0,16.0,0.2,,
Adam Shaheen,25.01,TE,CHI,2019-11-03,Sun,2019,9,8.0,Away,PHI,L 14-22,-2.0,18.0,0.41,,
Adam Thielen,29.017,WR,MIN,2019-09-08,Sun,2019,1,1.0,Home,ATL,W 28-12,11.8,47.0,0.84,,
Adam Thielen,29.024,WR,MIN,2019-09-15,Sun,2019,2,2.0,Away,GNB,L 16-21,10.0,64.0,0.98,,
Adam Thielen,29.031,WR,MIN,2019-09-22,Sun,2019,3,3.0,Home,OAK,W 34-14,19.1,54.0,0.87,,
Adam Thielen,29.038,WR,MIN,2019-09-29,Sun,2019,4,4.0,Away,CHI,L 6-16,1.6,57.0,0.95,,
Adam Thielen,29.045,WR,MIN,2019-10-06,Sun,2019,5,5.0,Away,NYG,W 28-10,28.5,57.0,0.85,,
Adam Thielen,29.052,WR,MIN,2019-10-13,Sun,2019,6,6.0,Home,PHI,W 38-20,14.7,58.0,0.82,,
Adam Thielen,29.059,WR,MIN,2019-10-20,Sun,2019,7,7.0,Away,DET,W 42-30,9.0,9.0,0.12,,
Adam Vinatieri,46.254,K,IND,2019-09-08,Sun,2019,1,1.0,Away,LAC,L 24-30,0.0,,,,
Adam Vinatieri,46.261,K,IND,2019-09-15,Sun,2019,2,2.0,Away,TEN,W 19-17,0.0,,,,
Adam Vinatieri,46.268,K,IND,2019-09-22,Sun,2019,3,3.0,Home,ATL,W 27-24,0.0,,,,
Adam Vinatieri,46.275,K,IND,2019-09-29,Sun,2019,4,4.0,Home,OAK,L 24-31,0.0,,,,
Adam Vinatieri,46.282,K,IND,2019-10-06,Sun,2019,5,5.0,Away,KAN,W 19-13,0.0,,,,
Adam Vinatieri,46.296,K,IND,2019-10-20,Sun,2019,7,6.0,Home,HOU,W 30-23,0.0,,,,
Adam Vinatieri,46.303,K,IND,2019-10-27,Sun,2019,8,7.0,Home,DEN,W 15-13,0.0,,,,
Adam Vinatieri,46.31,K,IND,2019-11-03,Sun,2019,9,8.0,Away,PIT,L 24-26,0.0,,,,
Adam Vinatieri,46.317,K,IND,2019-11-10,Sun,2019,10,9.0,Home,MIA,L 12-16,0.0,,,,
Adam Vinatieri,46.324,K,IND,2019-11-17,Sun,2019,11,10.0,Home,JAX,W 33-13,0.0,,,,
Adam Vinatieri,46.328,K,IND,2019-11-21,Thu,2019,12,11.0,Away,HOU,L 17-20,0.0,,,,
Adam Vinatieri,46.338,K,IND,2019-12-01,Sun,2019,13,12.0,Home,TEN,L 17-31,0.0,,,,
Adarius Taylor,,LB,CLE,2019-09-08,Sun,2019,1,1.0,Home,TEN,L 13-43,,3.0,0.05,,
Adoree' Jackson,23.355,CB,TEN,2019-09-08,Sun,2019,1,1.0,Away,CLE,W 43-13,7.5,71.0,1.0,,
Adoree' Jackson,23.362,CB,TEN,2019-09-15,Sun,2019,2,2.0,Home,IND,L 17-19,1.5,48.0,0.69,,
Adoree' Jackson,24.001,CB,TEN,2019-09-19,Thu,2019,3,3.0,Away,JAX,L 7-20,3.0,38.0,0.7,,
Adoree' Jackson,24.011,CB,TEN,2019-09-29,Sun,2019,4,4.0,Away,ATL,W 24-10,9.0,58.0,0.73,,
Adoree' Jackson,24.018,CB,TEN,2019-10-06,Sun,2019,5,5.0,Home,BUF,L 7-14,4.5,46.0,0.71,,
Adoree' Jackson,24.025,CB,TEN,2019-10-13,Sun,2019,6,6.0,Away,DEN,L 0-16,3.0,31.0,0.52,,
Adoree' Jackson,24.032,CB,TEN,2019-10-20,Sun,2019,7,7.0,Home,LAC,W 23-20,3.0,40.0,0.63,,
Adrian Amos,26.129,S,GNB,2019-09-05,Thu,2019,1,1.0,Away,CHI,W 10-3,11.25,71.0,1.0,,
Adrian Amos,26.139,S,GNB,2019-09-15,Sun,2019,2,2.0,Home,MIN,W 21-16,6.5,65.0,1.0,,
Adrian Amos,26.146,S,GNB,2019-09-22,Sun,2019,3,3.0,Home,DEN,W 27-16,9.75,73.0,1.0,,
Adrian Amos,26.15,S,GNB,2019-09-26,Thu,2019,4,4.0,Home,PHI,L 27-34,9.0,62.0,1.0,,
Adrian Amos,26.16,S,GNB,2019-10-06,Sun,2019,5,5.0,Away,DAL,W 34-24,6.0,71.0,1.0,,
Adrian Amos,26.168,S,GNB,2019-10-14,Mon,2019,6,6.0,Home,DET,W 23-22,3.75,55.0,0.98,,
Adrian Amos,26.174,S,GNB,2019-10-20,Sun,2019,7,7.0,Home,OAK,W 42-24,13.5,62.0,0.94,,
Adrian Amos,26.181,S,GNB,2019-10-27,Sun,2019,8,8.0,Away,KAN,W 31-24,7.5,59.0,1.0,,
Adrian Amos,26.188,S,GNB,2019-11-03,Sun,2019,9,9.0,Away,LAC,L 11-26,10.5,71.0,0.99,,
Adrian Clayborn,31.064,DE,ATL,2019-09-08,Sun,2019,1,1.0,Away,MIN,L 12-28,0.75,12.0,0.21,,
Adrian Clayborn,31.071,DE,ATL,2019-09-15,Sun,2019,2,2.0,Home,PHI,W 24-20,7.5,35.0,0.44,,
Adrian Clayborn,31.078,DE,ATL,2019-09-22,Sun,2019,3,3.0,Away,IND,L 24-27,1.5,28.0,0.42,,
Adrian Clayborn,31.085,DE,ATL,2019-09-29,Sun,2019,4,4.0,Home,TEN,L 10-24,6.25,16.0,0.26,,
Adrian Clayborn,31.092,DE,ATL,2019-10-06,Sun,2019,5,5.0,Away,HOU,L 32-53,8.5,15.0,0.21,,
Adrian Clayborn,31.099,DE,ATL,2019-10-13,Sun,2019,6,6.0,Away,ARI,L 33-34,0.75,29.0,0.42,,
Adrian Clayborn,31.106,DE,ATL,2019-10-20,Sun,2019,7,7.0,Home,LAR,L 10-37,1.5,22.0,0.29,,
Adrian Clayborn,31.113,DE,ATL,2019-10-27,Sun,2019,8,8.0,Home,SEA,L 20-27,2.25,22.0,0.35,,
Adrian Clayborn,31.127,DE,ATL,2019-11-10,Sun,2019,10,9.0,Away,NOR,W 26-9,7.5,36.0,0.55,,
Adrian Clayborn,31.134,DE,ATL,2019-11-17,Sun,2019,11,10.0,Away,CAR,W 29-3,15.75,39.0,0.52,,
Adrian Clayborn,,DE,ATL,2019-11-24,Sun,2019,12,11.0,Home,TAM,L 22-35,,31.0,0.48,,
Adrian Clayborn,31.145,DE,ATL,2019-11-28,Thu,2019,13,12.0,Home,NOR,L 18-26,0.75,28.0,0.56,,
Adrian Clayborn,,DE,ATL,2019-12-08,Sun,2019,14,13.0,Home,CAR,W 40-20,,47.0,0.66,,
Adrian Clayborn,,DE,ATL,2019-12-15,Sun,2019,15,14.0,Away,SFO,W 29-22,,44.0,0.68,,
Adrian Clayborn,31.169,DE,ATL,2019-12-22,Sun,2019,16,15.0,Home,JAX,W 24-12,1.5,35.0,0.56,,
Adrian Peterson,34.178,RB,WAS,2019-09-15,Sun,2019,2,2.0,Home,DAL,L 21-31,10.2,18.0,0.31,,
Adrian Peterson,34.186,RB,WAS,2019-09-23,Mon,2019,3,3.0,Home,CHI,L 15-31,3.9,36.0,0.47,,
Adrian Peterson,34.192,RB,WAS,2019-09-29,Sun,2019,4,4.0,Away,NYG,L 3-24,2.8000000000000003,20.0,0.41,,
Adrian Peterson,34.199,RB,WAS,2019-10-06,Sun,2019,5,5.0,Home,NWE,L 7-33,1.8,15.0,0.27,,
Adrian Peterson,34.206,RB,WAS,2019-10-13,Sun,2019,6,6.0,Away,MIA,W 17-16,18.6,37.0,0.62,,
Adrian Peterson,34.213,RB,WAS,2019-10-20,Sun,2019,7,7.0,Home,SFO,L 0-9,6.1,29.0,0.64,,
Adrian Phillips,27.164,S,LAC,2019-09-08,Sun,2019,1,1.0,Home,IND,W 30-24,8.75,61.0,0.97,,
Adrian Phillips,27.171,S,LAC,2019-09-15,Sun,2019,2,2.0,Away,DET,L 10-13,9.0,50.0,0.83,,
Ahkello Witherspoon,24.171,CB,SFO,2019-09-08,Sun,2019,1,1.0,Away,TAM,W 31-17,19.5,69.0,1.0,,
Ahkello Witherspoon,24.178,CB,SFO,2019-09-15,Sun,2019,2,2.0,Away,CIN,W 41-17,9.0,68.0,0.99,,
Ahkello Witherspoon,24.185,CB,SFO,2019-09-22,Sun,2019,3,3.0,Home,PIT,W 24-20,5.0,43.0,0.81,,
Akiem Hicks,29.293,DE,CHI,2019-09-05,Thu,2019,1,1.0,Home,GNB,L 3-10,9.0,47.0,0.77,,
Akiem Hicks,29.303,DE,CHI,2019-09-15,Sun,2019,2,2.0,Away,DEN,W 16-14,3.0,66.0,0.8,,
Akiem Hicks,29.311,DE,CHI,2019-09-23,Mon,2019,3,3.0,Away,WAS,W 31-15,4.0,35.0,0.45,,
Al Woods,32.167,DT,SEA,2019-09-08,Sun,2019,1,1.0,Home,CIN,W 21-20,6.25,40.0,0.53,,
Al Woods,32.174,DT,SEA,2019-09-15,Sun,2019,2,2.0,Away,PIT,W 28-26,5.25,35.0,0.63,,
Al Woods,32.181,DT,SEA,2019-09-22,Sun,2019,3,3.0,Home,NOR,L 27-33,3.0,33.0,0.59,,
Al Woods,32.188,DT,SEA,2019-09-29,Sun,2019,4,4.0,Away,ARI,W 27-10,3.0,23.0,0.37,,
Al Woods,32.192,DT,SEA,2019-10-03,Thu,2019,5,5.0,Home,LAR,W 30-29,1.5,32.0,0.45,,
Al Woods,32.202,DT,SEA,2019-10-13,Sun,2019,6,6.0,Away,CLE,W 32-28,2.25,43.0,0.62,,
Al Woods,32.209,DT,SEA,2019-10-20,Sun,2019,7,7.0,Home,BAL,L 16-30,3.5,30.0,0.52,,
Al Woods,32.216,DT,SEA,2019-10-27,Sun,2019,8,8.0,Away,ATL,W 27-20,2.25,28.0,0.37,,
