Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
Aaron Ripkowski,23.322,RB,GNB,2016-11-06,Sun,2016,9,8.0,Home,IND,L 26-31,1.2000000000000002,22.0,0.32,,,9
Aaron Ripkowski,23.329,RB,GNB,2016-11-13,Sun,2016,10,9.0,Away,TEN,L 25-47,0.0,,,,,10
Aaron Ripkowski,23.336,RB,GNB,2016-11-20,Sun,2016,11,10.0,Away,WAS,L 24-42,1.65,14.0,0.21,,,11
Aaron Ripkowski,23.344,RB,GNB,2016-11-28,Mon,2016,12,11.0,Away,PHI,W 27-13,8.6,25.0,0.35,,,12
Aaron Ripkowski,23.35,RB,GNB,2016-12-04,Sun,2016,13,12.0,Home,HOU,W 21-13,9.8,24.0,0.41,,,13
Aaron Ripkowski,23.357,RB,GNB,2016-12-11,Sun,2016,14,13.0,Home,SEA,W 38-10,0.2,24.0,0.41,,,14
Aaron Rodgers,32.284,QB,GNB,2016-09-11,Sun,2016,1,1.0,Away,JAX,W 27-23,23.56,64.0,1.0,,,1
Aaron Rodgers,32.291,QB,GNB,2016-09-18,Sun,2016,2,2.0,Away,MIN,L 14-17,18.42,71.0,1.0,,,2
Aaron Rodgers,32.298,QB,GNB,2016-09-25,Sun,2016,3,3.0,Home,DET,W 34-27,26.4,54.0,1.0,,,3
Aaron Rodgers,,,,,,2016,4,,,,,,,,,,4
Aaron Rodgers,32.312,QB,GNB,2016-10-09,Sun,2016,5,4.0,Home,NYG,W 23-16,17.86,80.0,1.0,,,5
Aaron Rodgers,32.319,QB,GNB,2016-10-16,Sun,2016,6,5.0,Home,DAL,L 16-30,13.46,70.0,1.0,,,6
Aaron Rodgers,32.323,QB,GNB,2016-10-20,Thu,2016,7,6.0,Home,CHI,W 26-10,23.74,87.0,0.99,,,7
Aaron Rodgers,32.333,QB,GNB,2016-10-30,Sun,2016,8,7.0,Away,ATL,L 32-33,33.84,62.0,1.0,,,8
Aaron Rodgers,32.34,QB,GNB,2016-11-06,Sun,2016,9,8.0,Home,IND,L 26-31,27.180000000000003,69.0,1.0,,,9
Aaron Rodgers,32.347,QB,GNB,2016-11-13,Sun,2016,10,9.0,Away,TEN,L 25-47,29.54,74.0,0.95,,,10
Aaron Rodgers,32.354,QB,GNB,2016-11-20,Sun,2016,11,10.0,Away,WAS,L 24-42,29.34,64.0,0.94,,,11
Aaron Rodgers,32.362,QB,GNB,2016-11-28,Mon,2016,12,11.0,Away,PHI,W 27-13,23.12,71.0,1.0,,,12
Aaron Wallace,,,,,,2016,1,,,,,,,,,,1
Aaron Wallace,23.072,LB,TEN,2016-09-18,Sun,2016,2,2.0,Away,DET,W 16-15,2.25,16.0,16.0,,,2
Aaron Wallace,,,,,,2016,3,,,,,,,,,,3
Aaron Wallace,23.086,LB,TEN,2016-10-02,Sun,2016,4,4.0,Away,HOU,L 20-27,1.5,,,,,4
Aaron Wallace,23.093,LB,TEN,2016-10-09,Sun,2016,5,5.0,Away,MIA,W 30-17,1.5,,,,,5
Aaron Wallace,,,,,,2016,6,,,,,,,,,,6
Aaron Wallace,,,,,,2016,7,,,,,,,,,,7
Aaron Wallace,23.111,LB,TEN,2016-10-27,Thu,2016,8,8.0,Home,JAX,W 36-22,0.0,25.0,25.0,,,8
Aaron Williams,26.141,DB,BUF,2016-09-11,Sun,2016,1,1.0,Away,BAL,L 7-13,6.5,28.0,28.0,,,1
Aaron Williams,26.145,DB,BUF,2016-09-15,Thu,2016,2,2.0,Home,NYJ,L 31-37,8.25,44.0,44.0,,,2
Aaron Williams,26.155,DB,BUF,2016-09-25,Sun,2016,3,3.0,Home,ARI,W 33-18,11.5,67.0,67.0,,,3
Abry Jones,25.003,DL,JAX,2016-09-11,Sun,2016,1,1.0,Home,GNB,L 23-27,0.0,5.0,5.0,,,1
Abry Jones,25.01,DL,JAX,2016-09-18,Sun,2016,2,2.0,Away,SDG,L 14-38,0.75,37.0,37.0,,,2
Abry Jones,25.017,DL,JAX,2016-09-25,Sun,2016,3,3.0,Home,BAL,L 17-19,0.0,17.0,17.0,,,3
Abry Jones,25.024,DL,JAX,2016-10-02,Sun,2016,4,4.0,Home,IND,W 30-27,2.25,26.0,26.0,,,4
Abry Jones,,,,,,2016,5,,,,,,,,,,5
Abry Jones,25.038,DL,JAX,2016-10-16,Sun,2016,6,5.0,Away,CHI,W 17-16,5.0,23.0,23.0,,,6
Abry Jones,25.045,DL,JAX,2016-10-23,Sun,2016,7,6.0,Home,OAK,L 16-33,6.5,30.0,30.0,,,7
Abry Jones,25.049,DL,JAX,2016-10-27,Thu,2016,8,7.0,Away,TEN,L 22-36,3.75,32.0,32.0,,,8
Abry Jones,25.059,DL,JAX,2016-11-06,Sun,2016,9,8.0,Away,KAN,L 14-19,3.0,37.0,37.0,,,9
Abry Jones,25.066,DL,JAX,2016-11-13,Sun,2016,10,9.0,Home,HOU,L 21-24,3.0,41.0,41.0,,,10
Abry Jones,25.073,DL,JAX,2016-11-20,Sun,2016,11,10.0,Away,DET,L 19-26,10.25,30.0,30.0,,,11
Adairius Barnes,22.134,DB,DET,2016-09-11,Sun,2016,1,1.0,Away,IND,W 39-35,1.5,,,,,1
Adam Gettis,,,,,,2016,1,,,,,,,,,,1
Adam Gettis,,,,,,2016,2,,,,,,,,,,2
Adam Gettis,,,,,,2016,3,,,,,,,,,,3
Adam Gettis,,,,,,2016,4,,,,,,,,,,4
Adam Gettis,,,,,,2016,5,,,,,,,,,,5
Adam Gettis,,,,,,2016,6,,,,,,,,,,6
