Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
Irv Smith Jr.,TE,22.091,2020-11-08,NFL,MIN,,DET,W 34-20,8,9,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,2,10,5.00,2,50.0%,2.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonnu Smith,TE,25.029,2020-09-20,NFL,TEN,,JAX,W 33-30,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,84,21.00,2,80.0%,16.80,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonnu Smith,TE,25.052,2020-10-13,NFL,TEN,,BUF,W 42-16,4,5,Tue,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,40,8.00,2,71.4%,5.71,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,WR,24.271,2020-10-04,NFL,NOR,@,DET,W 35-29,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,54,13.50,2,100.0%,13.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JuJu Smith-Schuster,WR,23.297,2020-09-14,NFL,PIT,@,NYG,W 26-16,1,1,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,69,11.50,2,100.0%,11.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Snead ,WR/RS,28.029,2020-11-15,NFL,BAL,@,NWE,L 17-23,9,10,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,64,12.80,2,71.4%,9.14,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Andre Swift ,RB,21.341,2020-12-20,NFL,DET,@,TEN,L 25-46,14,15,Sun,0,0,,0,0,0,,0,0,,,15,67,4.47,2,5,4,15,3.75,0,80.0%,3.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
D'Andre Swift ,RB,21.278,2020-10-18,NFL,DET,@,JAX,W 34-16,5,6,Sun,0,0,,0,0,0,,0,0,,,14,116,8.29,2,4,3,7,2.33,0,75.0%,1.75,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa ,QB,22.293,2020-12-20,NFL,MIA,,NWE,W 22-12,14,15,Sun,20,26,76.92,145,0,1,73.4,2,12,5.58,3.85,3,9,3.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,QB,32.160,2021-01-03,NFL,TEN,@,HOU,W 41-38,16,17,Sun,18,27,66.67,216,1,0,103.3,2,12,8.00,8.74,7,38,5.43,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,QB,32.146,2020-12-20,NFL,TEN,,DET,W 46-25,14,15,Sun,21,27,77.78,273,3,0,145.8,1,5,10.11,12.33,3,21,7.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,RB,21.329,2020-12-13,NFL,IND,@,LVR,W 44-27,13,14,Sun,0,0,,0,0,0,,0,0,,,20,150,7.50,2,2,2,15,7.50,0,100.0%,7.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,RB,21.343,2020-12-27,NFL,IND,@,PIT,L 24-28,15,16,Sun,0,0,,0,0,0,,0,0,,,18,74,4.11,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,RB,21.350,2021-01-03,NFL,IND,,JAX,W 28-14,16,17,Sun,0,0,,0,0,0,,0,0,,,30,253,8.43,2,2,1,1,1.00,0,50.0%,0.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,30.022,2020-09-13,NFL,MIN,,GNB,L 34-43,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,6,110,18.33,2,75.0%,13.75,,,,,,,1,,2,14,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,30.092,2020-11-22,NFL,MIN,,DAL,L 28-31,10,11,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,8,123,15.38,2,72.7%,11.18,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,30.050,2020-10-11,NFL,MIN,@,SEA,L 26-27,5,5,Sun,0,0,,0,0,0,,0,0,,,1,3,3.00,0,13,9,80,8.89,2,69.2%,6.15,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,30.086,2020-11-16,NFL,MIN,@,CHI,W 19-13,9,10,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,7,4,43,10.75,2,57.1%,6.14,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin Thompson,RB,23.326,2021-01-03,NFL,KAN,,LAC,L 21-38,16,17,Sun,0,0,,0,0,0,,0,0,,,14,45,3.21,1,7,7,65,9.29,1,100.0%,9.29,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Marquez Valdes-Scantling,WR,26.026,2020-11-05,NFL,GNB,@,SFO,W 34-17,8,9,Thu,0,0,,0,0,0,,0,0,,,0,0,,0,4,2,53,26.50,2,50.0%,13.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Waller,TE,28.084,2020-12-06,NFL,LVR,@,NYJ,W 31-28,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,17,13,200,15.38,2,76.5%,11.76,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Ward,WR,25.161,2020-12-20,NFL,PHI,@,ARI,L 26-33,14,15,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,15,3.75,2,80.0%,3.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James White ,RB,28.300,2020-11-29,NFL,NWE,,ARI,W 20-17,11,12,Sun,0,0,,0,0,0,,0,0,,,5,18,3.60,2,1,1,-1,-1.00,0,100.0%,-1.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Williams,RB,23.073,2021-01-03,NFL,BUF,,MIA,W 56-26,16,17,Sun,0,0,,0,0,0,,0,0,,,12,63,5.25,2,1,1,20,20.00,0,100.0%,20.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Williams ,WR,26.008,2020-10-12,NFL,LAC,@,NOR,L 27-30,5,5,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,8,5,109,21.80,2,62.5%,13.63,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson Jr.,WR,24.312,2020-09-27,NFL,DAL,@,SEA,L 31-38,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,107,21.40,2,71.4%,15.29,,,,,,,,,2,12,0,0,,0,1,1,1.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
