Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,2019,2019-09-08,1:00,1:00,@,MIA,1,1,Sun,W 59-10,,59,10,49,69,-7.0,covered,41.0,over,23,26,88.5,378,6,0,1,1,158.3,46,265,5.76,2,643,73,8.8082,47,4.2553,,40:07,2:58,4,40,9,64,13,104,31,10,17,4,11,7,63.6%,2,2,100.0%,8,8,8,1,1,0,,,1,56,56.00
TAM,2019,2019-09-29,4:05,1:05,@,LAR,4,4,Sun,W 55-40,,55,40,15,95,9.0,covered,48.5,over,28,41,68.3,376,4,1,2,9,120.5,30,88,2.93,2,464,73,6.3562,81,6.3951,1,32:36,3:39,12,99,13,106,25,205,27,3,22,2,13,8,61.5%,0,0,,7,7,7,2,2,0,,,2,88,44.00
HOU,2019,2019-10-06,1:00,12:00,,ATL,5,5,Sun,W 53-32,,53,32,21,85,-4.0,covered,49.0,over,28,33,84.8,426,5,0,0,0,158.3,34,166,4.88,1,592,67,8.8358,68,5.4853,1,31:00,3:13,9,89,7,63,16,152,31,11,18,2,13,10,76.9%,0,0,,7,7,5,2,2,0,,,1,35,35.00
KAN,2019,2020-01-12,3:05,2:05,,HOU,19,18,Sun,W 51-31,,51,31,20,82,-10.0,covered,50.5,over,23,35,65.7,316,5,0,1,5,134.6,21,118,5.62,2,434,57,7.6140,78,5.6667,1,25:25,3:25,4,37,7,87,11,124,29,9,16,4,8,2,25.0%,0,0,,7,7,6,1,1,0,,,4,123,30.75
SFO,2019,2019-10-27,4:05,1:05,,CAR,8,7,Sun,W 51-13,,51,13,38,64,-4.5,covered,41.0,over,18,22,81.8,156,2,1,3,19,111.2,38,232,6.11,5,388,63,6.1587,63,3.6508,1,33:01,3:04,4,31,9,70,13,101,24,10,12,2,10,5,50.0%,0,0,,7,6,6,1,1,1,,,3,121,40.33
BAL,2019,2019-11-10,1:00,1:00,@,CIN,10,9,Sun,W 49-13,,49,13,36,62,-10.5,covered,44.0,over,18,22,81.8,243,3,1,1,0,133.3,23,136,5.91,2,379,46,8.2391,72,4.2639,1,23:49,2:50,5,35,1,5,6,40,20,7,13,0,6,4,66.7%,1,1,100.0%,7,7,7,,,0,,,1,34,34.00
SFO,2019,2019-12-08,1:00,12:00,@,NOR,14,13,Sun,W 48-46,,48,46,2,94,1.0,covered,45.0,over,27,36,75.0,354,5,1,3,30,137.0,24,162,6.75,1,516,63,8.1905,68,6.8382,1,28:37,3:23,10,67,5,50,15,117,25,7,15,3,12,6,50.0%,1,1,100.0%,6,6,6,2,2,0,,,3,134,44.67
DAL,2019,2019-12-29,4:25,3:25,,WAS,17,16,Sun,W 47-16,,47,16,31,63,-12.5,covered,47.5,over,23,33,69.7,294,4,0,3,9,138.0,36,223,6.19,1,517,72,7.1806,59,4.5932,1,34:15,3:14,10,81,2,10,12,91,22,9,13,0,15,8,53.3%,1,1,100.0%,5,5,5,4,4,0,,,2,62,31.00
NOR,2019,2019-12-08,1:00,12:00,,SFO,14,13,Sun,L 46-48,,46,48,-2,94,-1.0,not covered,45.0,over,29,41,70.7,349,5,0,0,0,136.1,27,116,4.30,1,465,68,6.8382,63,8.1905,1,31:23,3:23,5,50,10,67,15,117,28,9,17,2,11,5,45.5%,3,2,66.7%,6,4,4,2,2,2,,,1,45,45.00
