Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
SFO,2018,2018-10-28,4:25,2:25,@,ARI,8,8,Sun,L 15-18,,2,1,1,1,1,0,23,40,57.5,233,2,1,3,19,80.5,21,88,4.19,0,321,2,20,3,15,2,14,6,42.9%,0,0,,19,-73,-54,2,0,0,0,0,0,0,2,2,9,2,0,7,-12,2,-5
SFO,2018,2018-12-09,4:05,1:05,,DEN,14,13,Sun,W 20-14,,2,2,2,0,0,0,24,42,57.1,171,1,0,2,15,74.6,27,103,3.81,1,274,,22,8,9,5,15,2,13.3%,7,5,71.4%,-19,134,115,-1,0,0,0,0,0,0,3,20,13,3,17,-7,-7,20,-14
SFO,2018,2018-12-23,4:05,1:05,,CHI,16,15,Sun,L 9-14,,2,2,2,1,0,0,25,29,86.2,235,1,0,3,11,111.9,28,90,3.21,1,325,2,20,6,12,2,11,5,45.5%,1,1,100.0%,-43,-3,-46,1,0,0,0,0,0,0,0,2,-5,0,2,-7,0,2,-7
TAM,2018,2018-12-02,1:00,1:00,,CAR,13,12,Sun,W 24-17,,2,2,2,1,1,0,28,42,66.7,276,2,4,4,24,61.3,19,168,8.84,0,444,4,27,8,17,2,8,3,37.5%,1,0,0.0%,-73,-56,-129,3,0,0,0,0,0,0,3,10,7,3,7,-3,0,10,-3
Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,2018,2018-12-16,1:00,1:00,@,BAL,15,14,Sun,L 12-20,,2,2,2,2,2,0,14,23,60.9,128,1,0,2,3,90.5,49,242,4.94,1,370,2,24,16,7,1,16,9,56.3%,1,1,100.0%,-157,28,-129,1,0,0,0,0,0,0,0,-1,-5,0,-1,-4,-3,-1,-7
WAS,2018,2018-09-23,1:00,1:00,,GNB,3,3,Sun,W 31-17,,2,2,2,1,1,0,27,45,60.0,240,2,0,4,25,89.1,17,100,5.88,0,340,1,19,7,11,1,14,6,42.9%,2,0,0.0%,66,-20,46,0,0,0,0,0,0,0,14,18,11,14,4,-7,3,18,-4
WAS,2018,2018-10-14,1:00,1:00,,CAR,6,5,Sun,W 23-17,,2,1,0,1,1,0,27,40,67.5,269,2,1,1,6,92.6,18,81,4.50,0,350,3,22,7,15,0,9,3,33.3%,1,0,0.0%,51,-113,-62,3,0,0,0,0,0,0,14,11,8,14,-3,-3,-2,11,-5
WAS,2018,2018-10-21,4:25,4:25,,DAL,7,6,Sun,W 20-17,,2,2,2,2,1,0,22,35,62.9,250,1,0,4,23,93.7,22,73,3.32,1,323,2,17,6,10,1,14,5,35.7%,2,1,50.0%,57,-75,-18,2,0,0,0,1,0,1,7,0,3,7,-7,3,0,0,3
