Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tevin Coleman,RB,26.194,2019-10-27,NFL,SFO,,CAR,W 51-13,7,8,Sun,0,0,,0,0,0,,0,0,,,11,105,9.55,3,2,2,13,6.50,1,100.0%,6.50,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenyan Drake,RB,25.323,2019-12-15,NFL,ARI,,CLE,W 38-24,14,15,Sun,0,0,,0,0,0,,0,0,,,22,137,6.23,4,1,1,9,9.00,0,100.0%,9.00,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jones,RB,24.308,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,0,0,,0,0,0,,0,0,,,19,107,5.63,4,8,7,75,10.71,0,87.5%,9.38,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Jones ,WR,29.222,2019-10-20,NFL,DET,,MIN,L 30-42,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,10,93,9.30,4,76.9%,7.15,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,RB,23.276,2019-09-29,NFL,CLE,@,BAL,W 40-25,4,4,Sun,0,0,,0,0,0,,0,0,,,20,165,8.25,3,4,3,18,6.00,0,75.0%,4.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,WR,25.318,2019-10-13,NFL,MIN,,PHI,W 38-20,6,6,Sun,0,0,,0,0,0,,0,0,,,2,18,9.00,0,11,7,167,23.86,3,63.6%,15.18,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Edmonds,RB,23.190,2019-10-20,NFL,ARI,@,NYG,W 27-21,7,7,Sun,0,0,,0,0,0,,0,0,,,27,126,4.67,3,4,2,24,12.00,0,50.0%,6.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Ekeler,RB,24.114,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0,0,,0,0,0,,0,0,,,12,58,4.83,1,7,6,96,16.00,2,85.7%,13.71,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,WR,26.032,2019-09-22,NFL,TAM,,NYG,L 31-32,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,15,8,190,23.75,3,53.3%,12.67,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Fuller,WR,25.173,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,16,14,217,15.50,3,87.5%,13.56,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Taylor Gabriel,WR,28.218,2019-09-23,NFL,CHI,@,WAS,W 31-15,3,3,Mon,0,0,,0,0,0,,0,0,,,1,7,7.00,0,7,6,75,12.50,3,85.7%,10.71,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gallup,WR,23.300,2019-12-29,NFL,DAL,,WAS,W 47-16,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,98,19.60,3,71.4%,14.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry ,RB,25.359,2019-12-29,NFL,TEN,@,HOU,W 35-14,16,17,Sun,0,0,,0,0,0,,0,0,,,32,211,6.59,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Howard,RB,24.328,2019-09-26,NFL,PHI,@,GNB,W 34-27,4,4,Thu,0,0,,0,0,0,,0,0,,,15,87,5.80,2,4,3,28,9.33,1,75.0%,7.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram,RB,29.275,2019-09-22,NFL,BAL,@,KAN,L 28-33,3,3,Sun,0,0,,0,0,0,,0,0,,,16,103,6.44,3,4,4,32,8.00,0,100.0%,8.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jones,RB,24.343,2019-11-10,NFL,GNB,,CAR,W 24-16,10,10,Sun,0,0,,0,0,0,,0,0,,,13,93,7.15,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kirk,WR,22.357,2019-11-10,NFL,ARI,@,TAM,L 27-30,10,10,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,10,6,138,23.00,3,60.0%,13.80,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
