Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAR,2016,2016-11-27,1:00,12:00,@,NOR,12,11,Sun,L 21-49,,7,7,7,0,0,0,29,37,78.4,346,5,0,2,14,145.2,32,209,6.53,2,555,1,27,9,17,1,13,6,46.2%,2,2,100.0%,-140,-168,-308,-1,0,0,0,0,0,0,0,-7,-21,0,-7,-14,-7,-7,-21
CAR,2016,2016-10-02,1:04,1:04,@,ATL,4,4,Sun,L 33-48,,6,6,6,2,2,0,28,37,75.7,481,4,1,3,22,142.0,25,90,3.60,1,571,1,25,7,18,0,13,8,61.5%,0,0,,-41,-152,-193,-1,0,0,1,0,0,1,-14,-7,-21,-14,7,-14,6,-7,-8
ARI,2016,2016-12-18,4:05,2:05,,NOR,15,14,Sun,L 41-48,,6,6,6,2,2,0,37,48,77.1,358,4,0,3,31,125.2,32,130,4.06,2,488,1,33,10,20,3,14,9,64.3%,1,1,100.0%,-14,-49,-63,-1,0,0,0,1,0,1,-3,-4,0,-3,-1,4,-7,-4,-3
DET,2016,2016-12-26,8:30,7:30,@,DAL,16,15,Mon,L 21-42,,6,6,6,0,0,0,16,21,76.2,211,4,0,1,11,147.0,30,164,5.47,2,375,,23,6,14,3,8,4,50.0%,0,0,,-74,18,-56,-2,0,0,0,0,0,0,-7,0,-14,-7,7,-14,-7,0,-21
GNB,2016,2016-11-13,1:00,12:00,@,TEN,10,9,Sun,L 25-47,,6,5,5,2,2,0,20,27,74.1,292,5,0,1,13,148.5,31,154,4.97,1,446,,19,3,13,3,14,7,50.0%,1,0,0.0%,-85,41,-44,-3,0,0,0,0,0,0,-21,-19,-16,-21,2,3,-6,-19,-3
GNB,2016,2016-11-20,8:30,8:30,@,WAS,11,10,Sun,L 24-42,,6,4,3,1,1,0,21,30,70.0,364,3,0,2,11,144.3,30,151,5.03,3,515,,21,6,14,1,14,9,64.3%,1,1,100.0%,-67,-24,-91,-2,0,0,0,0,0,0,-7,-3,-12,-7,4,-9,-6,-3,-15
KAN,2016,2016-10-02,8:30,8:30,@,PIT,4,4,Sun,L 14-43,,6,5,5,0,0,0,22,27,81.5,287,5,0,2,13,150.5,26,149,5.73,1,436,,18,4,13,1,11,6,54.5%,0,0,,-62,-17,-79,-2,0,0,0,0,0,0,-22,-29,-36,-22,-7,-7,7,-29,0
NOR,2016,2016-09-26,8:30,7:30,,ATL,3,3,Mon,L 32-45,,6,6,6,1,1,0,20,30,66.7,225,2,0,2,15,111.1,31,217,7.00,3,442,,26,11,13,2,11,5,45.5%,2,2,100.0%,-102,134,32,-2,0,0,0,0,0,0,0,-11,-13,0,-11,-2,0,-11,-2
NOR,2016,2016-12-18,4:05,2:05,@,ARI,15,14,Sun,W 48-41,,6,6,5,1,0,0,28,40,70.0,309,2,0,1,9,109.3,15,116,7.73,3,425,2,26,7,17,2,10,5,50.0%,1,1,100.0%,14,49,63,1,0,0,0,0,0,0,3,4,0,3,1,-4,7,4,3
LAR,2016,2016-12-11,4:25,1:25,,ATL,14,13,Sun,L 14-42,,6,6,6,0,0,0,18,30,60.0,220,3,0,2,17,116.0,25,66,2.64,1,286,,18,3,12,3,13,4,30.8%,0,0,,38,-12,26,-5,0,0,0,0,0,0,-7,-21,-42,-7,-14,-21,14,-21,-7
SFO,2016,2016-10-16,1:02,1:02,@,BUF,6,6,Sun,L 16-45,,6,6,6,1,1,0,16,27,59.3,179,2,0,3,0,103.8,44,313,7.11,4,492,2,29,16,10,3,13,8,61.5%,0,0,,-180,-12,-192,1,0,0,0,0,0,0,-4,-4,-11,-4,0,-7,-18,-4,-25
BUF,2016,2016-10-30,1:02,1:02,,NWE,8,8,Sun,L 25-41,,5,5,5,2,2,0,22,33,66.7,285,4,0,5,30,133.2,23,72,3.13,1,357,,23,2,15,6,13,9,69.2%,0,0,,95,-76,19,0,0,0,0,0,0,0,-11,-14,-21,-11,-3,-7,5,-14,-2
CAR,2016,2016-10-16,1:03,12:03,@,NOR,6,6,Sun,L 38-41,,5,5,5,3,2,0,34,49,69.4,460,4,1,1,5,117.7,21,63,3.00,1,523,1,23,3,19,1,16,8,50.0%,1,1,100.0%,40,-157,-117,-1,0,0,0,0,0,0,-14,-14,-14,-14,0,0,11,-14,11
CHI,2016,2016-12-24,1:00,12:00,,WAS,16,15,Sat,L 21-41,,5,5,5,2,2,0,18,29,62.1,270,1,0,0,0,104.1,35,208,5.94,4,478,,21,10,9,2,13,8,61.5%,1,0,0.0%,-68,48,-20,-5,0,0,0,0,0,0,-14,-10,-17,-14,4,-7,-3,-10,-10
CHI,2016,2017-01-01,1:00,3:00,@,MIN,17,16,Sun,L 10-38,,5,5,5,1,1,0,25,34,73.5,250,3,1,0,0,111.2,28,124,4.43,1,374,1,21,5,15,1,12,6,50.0%,1,0,0.0%,59,-110,-51,-4,0,0,0,0,0,0,-7,-14,-14,-7,-7,0,-14,-14,-14
