Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,2017,2017-10-01,1:00,12:00,,TEN,4,4,Sun,W 57-14,,57,14,43,71,2.5,covered,43.0,over,25,34,73.5,272,4,1,2,11,125.0,42,173,4.12,2,445,78,5.7051,41,4.7561,1,39:41,2:56,3,20,6,88,9,108,33,10,19,4,12,6,50.0%,1,1,100.0%,7,7,6,3,3,0,,,2,122,61.00
LAC,2017,2017-11-19,4:05,1:05,,BUF,11,10,Sun,W 54-24,,54,24,30,78,-7.0,covered,41.5,over,25,37,67.6,283,2,0,1,1,108.4,35,146,4.17,2,429,73,5.8767,62,6.3387,,36:05,3:09,1,13,6,48,7,61,28,8,20,0,14,7,50.0%,0,0,,6,6,6,5,4,0,,,2,73,36.50
NOR,2017,2017-10-15,1:00,12:00,,DET,6,5,Sun,W 52-38,,52,38,14,90,-6.0,covered,50.5,over,20,30,66.7,186,2,2,0,0,77.9,37,193,5.22,2,379,67,5.6567,76,4.5658,3,32:11,3:47,13,118,7,46,20,164,19,9,9,1,12,2,16.7%,1,1,100.0%,7,7,7,1,1,0,,,7,344,49.14
PHI,2017,2017-11-05,1:00,1:00,,DEN,9,9,Sun,W 51-23,,51,23,28,74,-7.0,covered,41.0,over,16,28,57.1,222,4,0,2,12,124.1,37,197,5.32,3,419,67,6.2537,60,3.7667,1,29:54,3:21,5,35,14,105,19,140,25,9,13,3,13,5,38.5%,4,2,50.0%,7,7,6,1,1,0,,,2,108,54.00
LAR,2017,2017-11-05,1:00,1:00,@,NYG,9,8,Sun,W 51-17,,51,17,34,68,-5.5,covered,42.5,over,14,22,63.6,311,4,0,0,0,146.8,39,162,4.15,2,473,61,7.7541,66,4.8333,,30:30,3:01,6,55,4,52,10,107,20,8,10,2,12,6,50.0%,1,0,0.0%,6,6,6,3,3,0,,,2,75,37.50
NOR,2017,2017-11-12,1:00,1:00,@,BUF,10,9,Sun,W 47-10,,47,10,37,57,-2.0,covered,48.5,over,18,25,72.0,184,0,0,0,0,92.7,48,298,6.21,6,482,73,6.6027,45,4.4000,1,41:23,2:57,4,41,8,56,12,97,32,20,9,3,12,6,50.0%,2,2,100.0%,6,6,5,2,2,0,,,0,0,
LAR,2017,2017-09-10,4:05,1:05,,IND,1,1,Sun,W 46-9,,46,9,37,55,-3.5,covered,41.5,over,22,30,73.3,310,1,0,1,8,118.5,33,63,1.91,2,373,64,5.8281,49,4.5918,1,34:25,2:59,7,50,4,20,11,70,19,5,13,1,14,5,35.7%,0,0,,5,5,5,3,3,0,,1,5,218,43.60
SEA,2017,2017-10-01,8:30,5:30,,IND,4,4,Sun,W 46-18,,46,18,28,64,-12.5,covered,41.5,over,21,26,80.8,283,2,2,3,12,107.5,33,194,5.88,2,477,62,7.6935,57,4.1579,2,32:12,3:14,6,45,5,31,11,76,22,9,11,2,15,10,66.7%,1,1,100.0%,6,5,5,2,1,1,1,,1,35,35.00
CAR,2017,2017-11-13,8:30,8:30,,MIA,10,10,Mon,W 45-21,,45,21,24,66,-8.0,covered,38.5,over,21,35,60.0,254,4,0,0,0,120.4,36,294,8.17,2,548,71,7.7183,54,5.7963,,35:39,3:05,6,37,7,57,13,94,30,12,16,2,14,11,78.6%,0,0,,6,6,6,1,1,0,,,2,85,42.50
JAX,2017,2017-12-17,1:00,1:00,,HOU,15,14,Sun,W 45-7,,45,7,38,52,-10.5,covered,39.0,over,21,29,72.4,326,3,0,1,0,143.7,38,138,3.63,3,464,68,6.8235,56,3.3214,,33:18,3:16,8,54,14,127,22,181,25,8,14,3,10,3,30.0%,0,0,,6,6,6,1,1,0,,,6,283,47.17
JAX,2017,2018-01-14,1:05,1:05,@,PIT,19,18,Sun,W 45-42,,45,42,3,87,7.0,covered,40.5,over,14,26,53.8,214,1,0,0,0,94.1,35,164,4.69,4,378,61,6.1967,78,6.9872,,28:50,3:22,3,40,4,25,7,65,22,9,12,1,14,8,57.1%,1,1,100.0%,6,6,6,1,1,0,,,4,131,32.75
OAK,2017,2017-09-17,4:05,1:05,,NYJ,2,2,Sun,W 45-20,,45,20,25,65,-14.0,covered,44.0,over,23,28,82.1,230,3,0,0,0,136.6,27,180,6.67,3,410,55,7.4545,53,5.1132,,31:02,3:00,9,79,5,47,14,126,21,6,13,2,12,8,66.7%,0,0,,6,6,6,1,1,0,,,3,166,55.33
JAX,2017,2017-09-24,9:30,2:30,,BAL,3,3,Sun,W 44-7,,44,7,37,51,3.0,covered,38.0,over,20,33,60.6,244,4,0,0,0,123.0,35,166,4.74,1,410,68,6.0294,54,3.4444,,34:03,2:49,9,70,10,88,19,158,24,7,13,4,12,3,25.0%,2,2,100.0%,5,5,5,3,3,0,,,3,150,50.00
BAL,2017,2017-12-03,1:00,1:00,,DET,13,12,Sun,W 44-20,,44,20,24,64,-2.5,covered,43.0,over,23,36,63.9,269,2,0,0,0,105.0,27,101,3.74,2,370,63,5.8730,61,6.0984,,29:51,3:05,2,25,6,45,8,70,24,8,13,3,12,5,41.7%,0,0,,5,5,5,3,3,0,,,5,209,41.80
SFO,2017,2017-12-24,4:05,1:05,,JAX,16,15,Sun,W 44-33,,44,33,11,77,4.0,covered,43.0,over,21,30,70.0,238,2,1,1,4,102.4,35,131,3.74,3,369,66,5.5909,79,5.9747,1,29:11,3:27,8,68,12,99,20,167,26,7,15,4,15,10,66.7%,0,0,,6,6,5,1,1,0,,,3,131,43.67
PHI,2017,2017-12-10,4:25,1:25,@,LAR,14,13,Sun,W 43-35,,43,35,8,78,1.0,covered,47.5,over,29,51,56.9,316,4,1,2,17,94.6,32,139,4.34,0,455,85,5.3529,45,6.8222,1,39:12,3:33,10,67,7,102,17,169,29,5,18,6,20,8,40.0%,2,2,100.0%,5,4,4,3,3,1,,,4,142,35.50
DEN,2017,2017-09-17,4:25,2:25,,DAL,2,2,Sun,W 42-17,,42,17,25,59,2.5,covered,44.0,over,22,32,68.8,202,4,1,2,29,116.0,39,178,4.56,1,380,73,5.2055,66,4.0606,2,33:50,4:15,8,61,8,69,16,130,26,11,12,3,15,9,60.0%,0,0,,6,6,6,1,,0,,,3,129,43.00
KAN,2017,2017-09-07,8:30,8:30,@,NWE,1,1,Thu,W 42-27,,42,27,15,69,8.0,covered,47.5,over,28,35,80.0,352,4,0,3,16,148.6,27,185,6.85,2,537,65,8.2615,74,5.0135,1,30:14,3:37,15,139,6,55,21,194,26,8,17,1,11,4,36.4%,0,0,,6,6,6,,,0,,,6,262,43.67
