Address,Player,Position,First_Year,Last_Year
/players/A/AbduAm00,Ameer Abdullah,RB,2015,2020
/players/A/AbraJo01,Johnathan Abram,S,2019,2020
/players/A/AbraDe00,Delrick Abrams,DB,2020,2020
/players/A/AdamDa01,Davante Adams,WR,2014,2020
/players/A/AdamJa00,Jamal Adams,SS,2017,2020
/players/A/AdamJe01,Jerell Adams,TE,2016,2019
/players/A/AdamJo03,Josh Adams,RB,2018,2020
/players/A/AdamMa00,Matthew Adams,LB,2018,2020
/players/A/AdamMo00,Montravius Adams,DT,2017,2020
/players/A/AdamRo01,Rodney Adams,WR,2017,2017
/players/A/AddeNa00,Nasir Adderley,S,2019,2020
/players/A/AdebQu00,Quincy Adeboyejo,WR,2017,2017
/players/A/AdenHa00,Hakeem Adeniji,OL,2020,2020
/players/A/AdenOl00,Olasunkanmi Adeniyi,DE,2018,2020
/players/A/AdeoAa00,Aaron Adeoye,DE,2020,2020
/players/A/AghoNe00,Nelson Agholor,WR,2015,2020
/players/A/AgimMc00,McTelvin Agim,DL,2020,2020
/players/A/AgneJa00,Jamal Agnew,CB,2017,2020
/players/A/AhmeSa01,Salvon Ahmed,RB,2020,2020
/players/A/AikeKa00,Kamar Aiken,WR,2011,2018
/players/A/AiyuBr00,Brandon Aiyuk,WR,2020,2020
/players/A/AjayJa00,Jay Ajayi,RB,2015,2019
/players/A/AkerCa00,Cam Akers,RB,2020,2020
/players/A/AkinFr01,Freedom Akinmoladun,DE,2019,2020
/players/A/AkinJo00,Jordan Akins,TE,2018,2020
/players/A/AlShAz00,Azeez Al-Shaair,LB,2019,2020
/players/A/AlakOt01,Otaro Alaka,LB,2020,2020
/players/A/AlexAd00,Adonis Alexander,,2018,2018
/players/A/AlexJa00,Jaire Alexander,CB,2018,2020
/players/A/AlieMo00,Mo Alie-Cox,TE,2018,2020
/players/A/AlleNi00,Nick Allegretti,G,2019,2020
/players/A/AlleBr00,Brandon Allen,QB,2019,2020
/players/A/AlleBr01,Brian Allen,CB,2017,2020
/players/A/AlleBr02,Brian Allen,C,2018,2019
/players/A/AlleCh02,Chase Allen,LB,2017,2018
/players/A/AlleDa01,Dakota Allen,LB,2019,2020
/players/A/AlleDw00,Dwayne Allen,TE,2012,2018
/players/A/AlleJa01,Javorius Allen,RB,2015,2019
/players/A/AlleJo01,Jonathan Allen,DT,2017,2020
/players/A/AlleJo02,Josh Allen,QB,2018,2020
/players/A/AlleJo03,Josh Allen,EDGE,2019,2020
/players/A/AlleKy00,Kyle Allen,QB,2018,2020
/players/A/AlleMa03,Marcus Allen,S,2018,2020
/players/A/AlleZa01,Zach Allen,DL,2019,2020
/players/A/AlliGe01,Geronimo Allison,WR,2016,2019
/players/A/AlufAu00,Auzoyah Alufohai,DT,2020,2020
/players/A/AmadUg00,Ugo Amadi,S,2019,2020
/players/A/AmenDa00,Danny Amendola,WR,2009,2020
/players/A/AnaeBr00,Bradlee Anae,DL,2020,2020
/players/A/AnchTr00,Tremayne Anchrum,OL,2020,2020
/players/A/AndeAb00,Abdullah Anderson,DT,2019,2020
/players/A/AndeC.00,C.J. Anderson,RB,2013,2019
/players/A/AndeCa00,Calvin Anderson,T,2020,2020
/players/A/AndeDe00,Derek Anderson,QB,2006,2018
/players/A/AndeRy00,Ryan Anderson,OLB,2017,2020
/players/A/AndeSt01,Stephen Anderson,TE,2016,2020
/players/A/AndrMa00,Mark Andrews,TE,2018,2020
/players/A/AnkoEl00,Eli Ankou,DT,2017,2020
/players/A/AnzaAl00,Alex Anzalone,OLB,2017,2020
/players/A/ApkeTr00,Troy Apke,S,2018,2020
/players/A/ArceJJ00,JJ Arcega-Whiteside,WR,2019,2020
/players/A/ArmaAl00,Alex Armah,FB,2017,2020
/players/A/ArmsRy00,Ryquell Armstead,RB,2019,2019
/players/A/ArmsCo00,Cornell Armstrong,CB,2018,2020
/players/A/ArmsDo00,Dorance Armstrong Jr.,DE,2018,2020
/players/A/ArneDa00,Damon Arnette,CB,2020,2020
/players/A/ArnoDa00,Dan Arnold,WR,2018,2020
/players/A/ArnoGr01,Grayland Arnold,DB,2020,2020
/players/A/ArtiCa00,Cameron Artis-Payne,RB,2015,2018
/players/A/AsiaDe00,Devin Asiasi,TE,2020,2020
/players/A/AsiaIs00,Isaac Asiata,OG,2017,2018
/players/A/AsiaMa00,Matt Asiata,FB,2012,2016
/players/A/AtemMa00,Marcell Ateman,WR,2018,2019
/players/A/AtkiJo01,John Atkins,DT,2018,2019
/players/A/AtkiGe01,George Atkinson,RB,2014,2016
/players/A/AuclAn00,Antony Auclair,TE,2017,2020
/players/A/AustBl00,Blessuan Austin,CB,2019,2020
/players/A/AustTa00,Tavon Austin,WR,2013,2020
/players/A/AverAn00,Anthony Averett,CB,2018,2020
/players/A/AverGe00,Genard Avery,LB,2018,2020
/players/A/AwuzCh00,Chidobe Awuzie,CB,2017,2020
/players/B/BachJo01,Joe Bachie,LB,2020,2020
/players/B/BachAl00,Alex Bachman,WR,2020,2020
/players/B/BadeJe00,Jeff Badet,WR,2020,2020
/players/B/BadgMi00,Michael Badgley,K,2018,2020
/players/B/BailJa00,Jake Bailey,P,2019,2020
/players/B/BailMa01,Markus Bailey,LB,2020,2020
/players/B/BailQu00,Quinn Bailey,T,2019,2020
/players/B/BakeBu00,Budda Baker,FS,2017,2020
/players/B/BakeDe00,Deandre Baker,CB,2019,2020
/players/B/BakeJe00,Jerome Baker,OLB,2018,2020
/players/B/BaldDo00,Doug Baldwin,WR,2011,2018
/players/B/BallKa00,Kalen Ballage,RB,2018,2020
/players/B/BallCo00,Corey Ballentine,CB,2019,2020
/players/B/BankBr01,Brandon Banks,DL,2017,2017
/players/B/BannZa00,Zach Banner,OG,2017,2020
/players/B/BanoBe00,Ben Banogu ,EDGE,2019,2020
/players/B/BarbPe01,Peyton Barber,RB,2016,2020
/players/B/BarcLu00,Luq Barcoo,DB,2020,2020
/players/B/BargJa00,Jake Bargas,RB,2020,2020
/players/B/BarkMa00,Matt Barkley,QB,2013,2020
/players/B/BarkSa00,Saquon Barkley,RB,2018,2020
/players/B/BarnKe00,Kenjon Barner,RB,2013,2020
/players/B/BarnKh20,Khalif Barnes,T,2005,2017
/players/B/BarnKr00,Krys Barnes,LB,2020,2020
/players/B/BarnDe01,Derek Barnett,DE,2017,2020
/players/B/BarnGa01,Gary Barnidge,TE,2008,2016
/players/B/BarrAl00,Alex Barrett,DE,2017,2020
/players/B/BarsAl01,Alex Bars,T,2019,2020
/players/B/BartBe00,Ben Bartch,OL,2020,2020
/players/B/BartCo00,Cody Barton,LB,2019,2020
/players/B/BashTa00,Tarell Basham,DE,2017,2020
/players/B/BassTy00,Tyler Bass,K,2020,2020
/players/B/BassEs01,Essang Bassey,DB,2020,2020
/players/B/BateJe00,Jessie Bates III,FS,2018,2020
/players/B/BateRy02,Ryan Bates,T,2019,2020
/players/B/BatsCa00,Cameron Batson,WR,2018,2020
/players/B/BaugMa02,Marcus Baugh,TE,2020,2020
/players/B/BaunZa00,Zack Baun,LB,2020,2020
/players/B/BawdNi00,Nick Bawden,RB,2019,2019
/players/B/BaylEv00,Evan Baylis,TE,2017,2020
/players/B/BealSa00,Sam Beal,,2019,2019
/players/B/BeasCo00,Cole Beasley,WR,2012,2020
/players/B/BeatC.00,C.J. Beathard,QB,2017,2020
/players/B/BeckAn01,Andrew Beck,TE,2019,2020
/players/B/BeckNa00,Nate Becker,TE,2020,2020
/players/B/BeckOd00,Odell Beckham Jr.,WR,2014,2020
/players/B/BeckKe00,Kendell Beckwith,ILB,2017,2017
/players/B/BectMe00,Mekhi Becton,OL,2020,2020
/players/B/BeexRy00,Ryan Bee,DE,2019,2019
/players/B/BeebCh00,Chad Beebe,WR,2018,2020
/players/B/BegeRe00,Reggie Begelton,WR,2020,2020
/players/B/BellBr01,Brandon Bell,OLB,2017,2018
/players/B/BellBy00,Byron Bell,T,2011,2018
/players/B/BellLe00,Le'Veon Bell,RB,2013,2020
/players/B/BellQu00,Quinton Bell,DE,2020,2020
/players/B/BellJo02,Josh Bellamy,WR,2012,2019
/players/B/BellLe02,LeVante Bellamy,RB,2020,2020
/players/B/BellB.00,B.J. Bello,LB,2017,2020
/players/B/BenjKe00,Kelvin Benjamin,WR,2014,2018
/players/B/BenjTr00,Travis Benjamin,WR,2012,2019
/players/B/BennMa00,Martellus Bennett,TE,2008,2017
/players/B/BennMi01,Michael Bennett,DT,2015,2018
/players/B/BentJa00,Ja'Whaun Bentley,ILB,2018,2020
/players/B/BentEl00,Elijah Benton,DB,2020,2020
/players/B/BenzBe01,Beau Benzschawel,G,2019,2020
/players/B/BernFr01,Francis Bernard,LB,2020,2020
/players/B/BernGi00,Giovani Bernard,RB,2013,2020
/players/B/BerrBr00,Braxton Berrios,WR,2019,2020
/players/B/BerrRa01,Rashod Berry,TE,2020,2020
/players/B/BiadTy00,Tyler Biadasz,OL,2020,2020
/players/B/BibbKa00,Kapri Bibbs,RB,2014,2018
/players/B/BiegVi00,Vince Biegel,OLB,2017,2019
/players/B/BierKe00,Keishawn Bierria,ILB,2018,2019
/players/B/BighAd00,Adam Bighill,LB,2017,2017
/players/B/BilaAs00,Asmar Bilal,LB,2020,2020
/players/B/BillAn00,Andrew Billings,DT,2017,2019
/players/B/BillJa00,Jace Billingsley,WR,2017,2017
/players/B/BisnAd00,Adam Bisnowaty,OT,2017,2017
/players/B/BlacHe00,Henry Black,DB,2020,2020
/players/B/BlacRo00,Ross Blacklock,DL,2020,2020
/players/B/BlacJu01,Julian Blackmon,S,2020,2020
/players/B/BlacSa00,Saeed Blacknall,WR,2018,2018
/players/B/BlaiMa01,Marquise Blair,S,2019,2020
/players/B/BlakCh00,Christian Blake,WR,2019,2020
/players/B/BlanRo03,Rodrigo Blankenship,K,2020,2020
/players/B/BlanKe01,Kendall Blanton,TE,2019,2019
/players/B/BlasKh00,Khari Blasingame,RB,2019,2020
/players/B/BledAm01,Amani Bledsoe,DE,2020,2020
/players/B/BlouDa00,David Blough,QB,2019,2020
/players/B/BlouLe00,LeGarrette Blount,RB,2010,2018
/players/B/BlueAl00,Alfred Blue,RB,2014,2018
/players/B/BoarC.00,C.J. Board,WR,2019,2020
/players/B/BoarCh00,Chris Board,LB,2018,2020
/players/B/BobeJa00,Jacob Bobenmoyer,LS,2020,2020
/players/B/BoetIk00,Ike Boettger,G,2018,2020
/players/B/BohaTo00,Tommy Bohanon,FB,2013,2018
/players/B/BojoCo00,Corey Bojorquez,P,2018,2020
/players/B/BoldVi00,Victor Bolden,WR,2017,2018
/players/B/BoldAn00,Anquan Boldin,WR,2003,2016
/players/B/BollGa00,Garett Bolles,OT,2017,2020
/players/B/BondDe00,Devante Bond,OLB,2017,2020
/players/B/BondDe01,Deyshawn Bond,C,2017,2017
/players/B/BondTe00,Terrell Bonds,DB,2020,2020
/players/B/BonnRe00,Reggie Bonnafon,RB,2019,2020
/players/B/BookDe00,Devontae Booker,RB,2016,2020
/players/B/BoonMi00,Mike Boone,RB,2018,2020
/players/B/BordBr00,Breon Borders,CB,2017,2020
/players/B/BortBl00,Blake Bortles,QB,2014,2019
/players/B/BosaNi00,Nick Bosa,EDGE,2019,2020
/players/B/BostJo00,Jonathan Bostic,LB,2013,2020
/players/B/BourKe00,Kendrick Bourne,WR,2017,2020
/players/B/BowdLy00,Lynn Bowden Jr.,WR,2020,2020
/players/B/BoweTa00,Tashawn Bower,OLB,2017,2020
/players/B/BowsTy00,Tyus Bowser,OLB,2017,2020
/players/B/BoydKr00,Kris Boyd,CB,2019,2020
/players/B/BoydTy00,Tyler Boyd,WR,2016,2020
/players/B/BoykMi00,Miles Boykin,WR,2019,2020
/players/B/BoykTr00,Trevone Boykin,QB,2016,2016
/players/B/BoykBr01,Brett Boyko,T,2017,2017
/players/B/BoylNi00,Nick Boyle,TE,2015,2020
/players/B/BoylTi00,Tim Boyle,QB,2019,2020
/players/B/BozeBr00,Bradley Bozeman,C,2018,2020
/players/B/BradGa00,Garrett Bradbury,OL,2019,2020
/players/B/BradBe00,Ben Braden,OG,2018,2020
/players/B/BradSa00,Sam Bradford,QB,2010,2018
/players/B/BradBa00,Bam Bradley,OLB,2017,2017
/players/B/BradHu00,Hunter Bradley,LS,2018,2020
/players/B/BradJa01,Ja'Marcus Bradley,WR,2020,2020
/players/B/BradSh00,Shaun Bradley,LB,2020,2020
/players/B/BradDa00,Darius Bradwell,RB,2020,2020
/players/B/BradTo00,Tom Brady,QB,2000,2020
/players/B/BraiJo00,Jordan Brailford,EDGE,2020,2020
/players/B/BranJo00,John Brannon,DB,2020,2020
/players/B/BranCa00,Caleb Brantley,DT,2017,2019
/players/B/BratCa00,Cameron Brate,TE,2014,2020
/players/B/BrauBe00,Ben Braunecker,TE,2016,2019
/players/B/BrayTy00,Tyler Bray,QB,2014,2020
/players/B/BredBe00,Ben Bredeson,OL,2020,2020
/players/B/BreeDr00,Drew Brees,QB,2001,2020
/players/B/BreiMa00,Matt Breida,RB,2017,2020
/players/B/BrenK.00,K.J. Brent,WR,2017,2017
/players/B/BrewAa01,Aaron Brewer,C,2020,2020
/players/B/BrewCh01,Chandler Brewer,T,2019,2019
/players/B/BridTe00,Teddy Bridgewater,QB,2014,2020
/players/B/BrisJa00,Jacoby Brissett,QB,2016,2020
/players/B/BritKe00,Kenny Britt,WR,2009,2017
/players/B/BrooAn00,Antoine Brooks Jr.,S,2020,2020
/players/B/BrooJo01,Jordyn Brooks,LB,2020,2020
/players/B/BrooNa00,Nate Brooks,DB,2019,2020
/players/B/BrooTo01,Tony Brooks-James,RB,2019,2020
/players/B/BrouCo00,Cortez Broughton,DL,2019,2020
/players/B/BrowAJ00,A.J. Brown,WR,2019,2020
/players/B/BrowAl02,Alex Brown,DB,2019,2019
/players/B/BrowAn05,Andrew Brown,DE,2019,2020
/players/B/BrowAn04,Antonio Brown,WR,2010,2020
/players/B/BrowBl00,Blair Brown,ILB,2017,2018
/players/B/BrowCa01,Cam Brown,LB,2020,2020
/players/B/BrowPh00,Corey Brown,WR,2014,2016
/players/B/BrowDa04,Daniel Brown,TE,2015,2020
/players/B/BrowDe05,Derrick Brown,DL,2020,2020
/players/B/BrowDo02,Donatello Brown,CB,2017,2017
/players/B/BrowEv00,Evan Brown,C,2019,2020
