Player_Address,Player,Position
/players/W/WoodJo01,Josh Woodrum,QB
/players/Z/ZamoRo01,Ronald Zamort,CB
/players/A/AliiRi00,Ricky Ali'ifua,DE
/players/A/AndrDa01,Darren Andrews,WR
/players/B/BailSe00,Sergio Bailey,WR
/players/B/BarnAu00,Austin Barnard,K
/players/B/BarnBr00,Brandon Barnes,TE
/players/B/BealEm00,Emmanuel Beal,LB
/players/B/BellKe02,Kenny Bell,WR
/players/B/BoukEl00,Elie Bouka,CB
/players/C/CalvJo00,Johnathan Calvin,DE
/players/C/CampCh01,Christian Campbell,CB
/players/C/CartCo00,Cory Carter,P
/players/C/CheeJo00,Joe Cheek,OL
/players/C/ConqZa00,Zach Conque,TE
/players/C/CoopCh00,Chris Cooper,S
/players/D/DuraTr00,Travin Dural,WR
/players/D/DurhSt00,Step Durham,DB
/players/F/FlemMa01,Maurice Fleming,CB
/players/F/FlynJP00,JP Flynn,OL
/players/G/GardCo01,Cole Gardner,T
/players/G/GodiMa00,Matthew Godin,DT
/players/G/GoolDe00,DeAndre Goolsby,TE
/players/H/HendCa01,Carlos Henderson,WR
/players/H/HillKh00,Khalid Hill,FB
/players/H/HughMi01,Michael Hughes,DT
/players/J/JeffRi00,Rickey Jefferson,DB
/players/J/JohnTr08,Trey Johnson,DB
/players/J/JoneLe00,Lenny Jones,DE
/players/K/KaayBr00,Brad Kaaya,QBThrows:Right
/players/K/KellJe01,Jermaine Elliott Kelly Jr.,CB
/players/K/KelsKe00,Keith Kelsey,ILB
/players/K/KoroTe00,Tejan Koroma,OL
/players/L/LaslJo00,Jordan Lasley,WR
/players/L/LeamJa00,Javarius Leamon,T
/players/L/ListKo00,Kolby Listenbee,WR
/players/M/MartPr00,Praise Martin-Oguike,OLB
/players/M/McCaAl00,Alex McCalister,DE
/players/M/McDoMa00,Malik McDowell,DT
/players/M/McGeJa01,Jake McGee,TE
/players/M/MitcTe01,Tevin Mitchel,CB
/players/M/MoorJ.00,J.D. Moore,RB
/players/M/MoorSt01,Steven Moore,OT
/players/M/MutcT.00,T.J. Mutcherson,S
/players/R/RobeAu00,Austin Roberts,TE
/players/R/RobiJe03,Jevoni Robinson,TE
/players/R/RossDe01,Devin Ross,WR
/players/R/RossFr00,Fred Ross,WR
/players/S/SamxCh00,Christian Sam,ILB
/players/S/ScotAr00,Artavis Scott,WR
/players/T/TaylRo01,Rod Taylor,G
/players/T/TheaNa00,Nate Theaker,G
/players/T/ThomAl00,Alex Thompson,C
/players/T/ThomKe04,Kendal Thompson,WR
/players/T/TrumAn00,Andrew Trumbetti,LB
/players/T/TuikSt00,Stevie Tu'ikolovatu,DT
/players/W/WarrCh01,Chris Warren,RB
/players/W/WeatTo00,Toby Weathersby,OT
/players/W/WilsHo00,Howard Wilson,CB
/players/Z/ZaruAd00,Adam Zaruba,TE
/players/B/BankJo01,Josh Banks,DT
/players/B/BattIs00,Position: LT,"201cm, 140kg)"
/players/B/BoweKe00,Kevin Bowen,T
/players/B/BrigCh00,Chris Briggs,TE
/players/C/ChubBr01,Brandon Chubb,LB
/players/C/ClieRe00,Reshard Cliett,OLB
/players/E/EstiBr00,Brisly Estime,WR
/players/F/FarrCh01,Chase Farris,G
/players/F/FullDe00,Devin Lewis Fuller,WR
/players/G/GarcAn00,Antonio Garcia,OT
/players/G/GilbJi00,Jimmie Gilbert,OLB
/players/G/GofoRa00,Randall Goforth,SS
/players/G/GoodAn01,Antwan Goodley,WR
/players/G/GrayDe00,Deante Gray,WR
/players/I/IddiDr00,Drew Iddings,DT
/players/J/JameCh01,Chanceller James,S
/players/J/JelkAn00,Andrew Jelks,OL
/players/J/JohnBJ00,BJ Johnson,WR
/players/J/JohnKe05,Keeon Johnson,WR
/players/J/JoseDi00,Dieugot Joseph,OT
/players/J/JuddAk00,Akeem Judd,RB
/players/L/LampAs00,Ashton Lampkin,CB
/players/L/LaskZa00,Zach Laskey,FB
/players/L/LawrDe01,Des Lawrence,CB
/players/M/MarsKe00,Keith Marshall,RB
/players/M/MattMi02,Mike Matthews,OL
/players/M/MaugQu00,Quincy Mauger,SS
/players/M/McKaMe00,Mekale McKay,WR
/players/M/MoorCh01,Charmeachealle Moore,ILB
/players/M/MuirBl00,Blake Muir,G
/players/M/MyerRo01,Robert Myers,OG
/players/N/NewsDo00,Donavin Newsom,OLB
/players/P/PumpDo00,Donnel Pumphrey,RB
