Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,2019,2019-09-08,1:00,1:00,,BAL,1,1,Sun,L 10-59,,8,8,8,1,1,0,23,26,88.5,378,6,0,1,1,158.3,46,265,5.76,2,643,,31,10,17,4,11,7,63.6%,2,2,100.0%,-244,-199,-443,-3,0,0,0,0,0,0,-21,-32,-42,-21,-11,-10,-7,-32,-17
ATL,2019,2019-10-06,1:00,12:00,@,HOU,5,5,Sun,L 32-53,,7,7,5,2,2,0,28,33,84.8,426,5,0,0,0,158.3,34,166,4.88,1,592,1,31,11,18,2,13,10,76.9%,0,0,,-109,-110,-219,0,0,0,0,0,0,0,0,1,-16,0,1,-17,-5,1,-22
CAR,2018,2018-11-08,8:20,8:20,@,PIT,10,9,Thu,L 21-52,,7,7,7,1,1,0,23,27,85.2,319,5,0,1,6,155.5,30,138,4.60,1,457,,25,10,14,1,11,8,72.7%,0,0,,-43,-172,-215,-2,0,0,0,0,0,0,-14,-17,-31,-14,-3,-14,0,-17,-14
CAR,2019,2019-10-27,4:05,1:05,@,SFO,8,7,Sun,L 13-51,,7,6,6,1,1,0,18,22,81.8,156,2,1,3,19,107.6,38,232,6.11,5,388,1,24,10,12,2,10,5,50.0%,0,0,,-102,-56,-158,-2,0,0,0,0,0,0,-11,-24,-28,-11,-13,-4,-10,-24,-14
CIN,2019,2019-11-10,1:00,1:00,,BAL,10,9,Sun,L 13-49,,7,7,7,0,0,0,18,22,81.8,243,3,1,1,0,133.3,23,136,5.91,2,379,1,20,7,13,0,6,4,66.7%,1,1,100.0%,21,-93,-72,-2,0,0,0,0,0,0,-14,-18,-39,-14,-4,-21,3,-18,-18
DEN,2017,2017-11-05,1:00,1:00,@,PHI,9,8,Sun,L 23-51,,7,7,6,1,1,0,16,28,57.1,222,4,0,2,12,122.3,37,197,5.32,3,419,1,25,9,13,3,13,5,38.5%,4,2,50.0%,-162,-31,-193,-1,0,0,0,1,0,1,-14,-22,-35,-14,-8,-13,7,-22,-6
DET,2017,2017-10-15,1:00,12:00,@,NOR,6,6,Sun,L 38-52,,7,7,7,1,1,0,20,30,66.7,186,2,2,0,0,77.9,37,193,5.22,2,379,3,19,9,9,1,12,2,16.7%,1,1,100.0%,-127,95,-32,-2,0,1,1,0,0,2,-10,-21,-21,-10,-11,0,7,-21,7
KAN,2018,2018-11-19,8:15,7:15,@,LAR,11,11,Mon,L 51-54,,7,7,6,2,2,0,31,49,63.3,379,4,0,5,34,114.2,21,76,3.62,1,455,2,29,4,21,4,14,5,35.7%,1,1,100.0%,22,69,91,-3,0,0,0,1,0,1,-6,0,-10,-6,6,-10,7,0,-3
TEN,2017,2017-10-01,1:00,12:00,@,HOU,4,4,Sun,L 14-57,,7,7,6,3,3,0,25,34,73.5,272,4,1,2,11,123.7,42,173,4.12,2,445,1,33,10,19,4,12,6,50.0%,1,1,100.0%,-87,-163,-250,-4,0,0,0,0,0,0,-14,-16,-23,-14,-2,-7,-20,-16,-27
LAR,2018,2018-11-19,8:15,7:15,,KAN,11,11,Mon,W 54-51,,7,7,6,1,1,0,33,46,71.7,448,6,3,3,30,114.9,20,98,4.90,0,546,5,27,2,21,4,10,5,50.0%,1,1,100.0%,-22,-69,-91,3,0,0,1,1,0,2,6,0,10,6,-6,10,-7,0,3
LAR,2019,2019-09-29,4:05,1:05,,TAM,4,4,Sun,L 40-55,,7,7,7,2,2,0,28,41,68.3,376,4,1,2,9,119.6,30,88,2.93,2,464,1,27,3,22,2,13,8,61.5%,0,0,,-60,114,54,-3,0,0,1,0,0,1,-7,-11,-11,-7,-4,0,-4,-11,-4
ATL,2018,2018-10-07,1:00,1:00,@,PIT,5,5,Sun,L 17-41,,6,6,5,0,0,0,19,29,65.5,250,3,1,0,0,112.7,29,131,4.52,2,381,1,22,9,11,2,12,9,75.0%,0,0,,-69,12,-57,0,0,0,0,0,0,0,-13,-3,-17,-13,10,-14,-7,-3,-21
BUF,2017,2017-11-12,1:00,1:00,,NOR,10,9,Sun,L 10-47,,6,6,5,2,2,0,18,25,72.0,184,0,0,0,0,92.7,48,298,6.21,6,482,1,32,20,9,3,12,6,50.0%,2,2,100.0%,-229,-55,-284,0,0,0,0,0,0,0,-4,-14,-34,-4,-10,-20,-3,-14,-23
BUF,2017,2017-11-19,4:05,1:05,@,LAC,11,10,Sun,L 24-54,,6,6,6,5,4,0,25,37,67.6,283,2,0,1,1,108.3,35,146,4.17,2,429,,28,8,20,0,14,7,50.0%,0,0,,27,-63,-36,-6,0,0,0,0,0,0,-3,-30,-37,-3,-27,-7,7,-30,0
BUF,2018,2018-09-09,1:00,1:00,@,BAL,1,1,Sun,L 3-47,,6,5,5,2,2,0,26,38,68.4,252,3,0,2,8,113.0,34,117,3.44,3,369,1,26,11,13,2,14,6,42.9%,0,0,,-34,-182,-216,-1,0,0,0,0,0,0,-14,-26,-37,-14,-12,-11,-7,-26,-18
CAR,2019,2019-12-29,1:00,1:00,,NOR,17,16,Sun,L 10-42,,6,6,6,0,0,0,20,31,64.5,264,3,0,1,3,123.6,35,115,3.29,2,379,,25,6,16,3,11,4,36.4%,0,0,,-74,24,-50,-3,0,0,0,0,0,0,-14,-32,-32,-14,-18,0,0,-32,0
CIN,2018,2018-10-21,8:20,12:00,@,KAN,7,7,Sun,L 10-45,,6,6,6,2,1,0,28,39,71.8,353,4,1,2,5,123.1,29,198,6.83,1,551,1,33,12,19,2,12,9,75.0%,1,0,0.0%,-133,-179,-312,0,0,0,0,0,0,0,-7,-17,-28,-7,-10,-11,-7,-17,-18
