Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
NOR,2018,2018-10-08,8:15,7:15,,WAS,5,5,Mon,W 43-19,,43,19,24,62,-5.5,covered,51.5,over,26,29,89.7,349,3,0,2,14,153.2,32,98,3.06,3,447,63,7.0952,60,4.7167,1,33:17,3:05,4,45,6,38,10,83,27,8,15,4,9,5,55.6%,0,0,,6,5,4,1,1,1,,,0,0,
NWE,2018,2018-10-14,8:20,8:20,,KAN,6,6,Sun,W 43-40,,43,40,3,83,-3.5,not covered,59.5,over,24,35,68.6,327,1,0,2,13,109.2,38,173,4.55,3,500,75,6.6667,53,8.4151,1,36:09,3:07,0,0,5,58,5,58,31,15,14,2,13,7,53.8%,1,0,0.0%,4,4,4,5,5,0,,,0,0,
NWE,2019,2019-09-15,1:00,1:00,@,MIA,2,2,Sun,W 43-0,,43,0,43,43,-18.0,covered,48.5,under,20,28,71.4,255,2,0,2,9,124.7,35,124,3.54,2,379,65,5.8308,61,3.0164,1,36:30,3:09,5,54,4,22,9,76,27,11,13,3,11,6,54.5%,0,0,,6,6,4,2,1,0,,,3,144,48.00
TEN,2019,2019-09-08,1:00,1:00,@,CLE,1,1,Sun,W 43-13,,43,13,30,56,5.5,covered,44.0,over,14,24,58.3,216,3,0,4,32,133.3,28,123,4.39,1,339,56,6.0536,63,5.4921,,29:18,3:12,6,54,18,182,24,236,21,6,9,6,10,2,20.0%,0,0,,5,5,5,2,2,0,,1,6,277,46.17
PHI,2017,2017-12-10,4:25,1:25,@,LAR,14,13,Sun,W 43-35,,43,35,8,78,1.0,covered,47.5,over,29,51,56.9,316,4,1,2,17,94.6,32,139,4.34,0,455,85,5.3529,45,6.8222,1,39:12,3:33,10,67,7,102,17,169,29,5,18,6,20,8,40.0%,2,2,100.0%,5,4,4,3,3,1,,,4,142,35.50
SEA,2018,2018-12-02,4:25,1:25,,SFO,13,12,Sun,W 43-16,,43,16,27,59,-10.0,covered,45.5,over,11,17,64.7,163,4,0,3,22,140.9,29,168,5.79,1,331,49,6.7551,74,6.1081,,27:30,3:15,10,100,13,128,23,228,21,8,7,6,9,4,44.4%,0,0,,6,6,4,1,1,0,,,4,199,49.75
BUF,2018,2018-12-30,1:00,1:00,,MIA,17,16,Sun,W 42-17,,42,17,25,59,-5.5,covered,39.5,over,17,26,65.4,215,3,1,1,9,114.9,33,166,5.03,3,381,60,6.3500,61,3.6885,1,30:18,3:02,3,24,4,35,7,59,23,11,9,3,11,5,45.5%,2,1,50.0%,6,6,6,1,,0,,,3,111,37.00
CAR,2018,2018-11-04,1:00,1:00,,TAM,9,8,Sun,W 42-28,,42,28,14,70,-6.0,covered,55.5,over,19,25,76.0,228,2,0,2,19,133.2,32,179,5.59,4,407,59,6.8983,65,4.6308,,31:00,3:16,9,84,8,49,17,133,22,8,11,3,10,4,40.0%,1,0,0.0%,6,6,6,,,0,,,4,200,50.00
CLE,2018,2018-09-30,4:05,1:05,@,OAK,4,4,Sun,L 42-45,OT,42,45,-3,87,2.5,not covered,44.5,over,21,41,51.2,279,2,2,2,16,70.7,31,208,6.71,3,487,74,6.5811,90,6.2778,4,31:23,4:04,8,55,6,65,14,120,21,6,13,2,15,5,33.3%,1,1,100.0%,5,2,2,2,2,3,2,,7,350,50.00
IND,2018,2018-10-28,4:05,1:05,@,OAK,8,8,Sun,W 42-28,,42,28,14,70,-3.5,covered,51.0,over,22,31,71.0,239,3,0,0,0,125.6,40,222,5.55,2,461,71,6.4930,47,7.3830,,36:30,3:01,10,77,10,79,20,156,28,11,13,4,13,9,69.2%,0,0,,5,4,4,2,2,1,1,,1,46,46.00
DEN,2017,2017-09-17,4:25,2:25,,DAL,2,2,Sun,W 42-17,,42,17,25,59,2.5,covered,44.0,over,22,32,68.8,202,4,1,2,29,116.0,39,178,4.56,1,380,73,5.2055,66,4.0606,2,33:50,4:15,8,61,8,69,16,130,26,11,12,3,15,9,60.0%,0,0,,6,6,6,1,,0,,,3,129,43.00
GNB,2019,2019-10-20,1:00,12:00,,OAK,7,7,Sun,W 42-24,,42,24,18,66,-5.5,covered,48.0,over,25,31,80.6,421,5,0,1,8,158.3,23,60,2.61,1,481,55,8.7455,62,7.8065,,30:24,2:59,3,20,8,97,11,117,22,5,15,2,10,6,60.0%,0,0,,6,6,6,,,0,,,3,166,55.33
HOU,2018,2018-10-25,8:20,7:20,,MIA,8,8,Thu,W 42-23,,42,23,19,65,-7.5,covered,45.0,over,16,20,80.0,239,5,0,0,0,156.0,35,188,5.37,1,427,55,7.7636,65,5.6923,,28:51,3:21,8,57,5,63,13,120,17,8,8,1,12,6,50.0%,1,1,100.0%,6,6,6,,,0,,,5,211,42.20
KAN,2017,2017-09-07,8:30,8:30,@,NWE,1,1,Thu,W 42-27,,42,27,15,69,8.0,covered,47.5,over,28,35,80.0,352,4,0,3,16,148.6,27,185,6.85,2,537,65,8.2615,74,5.0135,1,30:14,3:37,15,139,6,55,21,194,26,8,17,1,11,4,36.4%,0,0,,6,6,6,,,0,,,6,262,43.67
KAN,2017,2017-10-08,8:30,7:30,@,HOU,5,5,Sun,W 42-34,,42,34,8,76,-2.0,covered,45.0,over,29,37,78.4,323,3,0,1,1,130.2,35,127,3.63,0,450,73,6.1644,57,6.8772,,38:17,3:24,6,64,7,59,13,123,29,5,21,3,16,9,56.3%,0,0,,4,3,3,5,5,1,,,2,86,43.00
KAN,2018,2018-09-16,1:00,1:00,@,PIT,2,2,Sun,W 42-37,,42,37,5,79,4.5,covered,52.0,over,23,28,82.1,322,6,0,1,4,154.8,25,127,5.08,0,449,54,8.3148,74,6.4189,1,27:49,3:23,12,76,12,90,24,166,24,4,17,3,5,2,40.0%,0,0,,6,6,6,,,0,,,2,100,50.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,2019,2019-10-20,1:00,1:00,@,DET,7,7,Sun,W 42-30,,42,30,12,72,-2.5,covered,43.5,over,24,34,70.6,338,4,0,0,0,141.5,37,166,4.49,2,504,71,7.0986,67,6.4627,,32:10,3:11,6,60,8,67,14,127,32,10,19,3,10,6,60.0%,0,0,,6,6,6,1,,0,,,2,98,49.00
NOR,2019,2019-12-29,1:00,1:00,@,CAR,17,16,Sun,W 42-10,,42,10,32,52,-13.5,covered,45.0,over,20,31,64.5,264,3,0,1,3,124.0,35,115,3.29,2,379,67,5.6567,69,4.7681,,35:40,3:06,3,44,5,54,8,98,25,6,16,3,11,4,36.4%,0,0,,6,6,6,,,0,,,6,283,47.17
NYJ,2018,2018-10-14,1:00,1:00,,IND,6,6,Sun,W 42-34,,42,34,8,76,-2.5,covered,47.5,over,24,30,80.0,267,2,1,2,13,113.9,36,107,2.97,0,374,68,5.5000,66,6.4848,2,37:02,3:10,7,49,8,66,15,115,18,5,12,1,15,6,40.0%,0,0,,3,3,3,7,7,0,,,1,43,43.00
TEN,2019,2019-11-24,4:05,3:05,,JAX,12,11,Sun,W 42-20,,42,20,22,62,-4.5,covered,42.0,over,14,18,77.8,252,2,0,1,7,155.8,33,219,6.64,4,471,52,9.0577,78,4.7308,2,23:04,3:01,6,54,11,104,17,158,21,8,11,2,8,4,50.0%,0,0,,6,6,6,,,0,,,3,132,44.00
TEN,2019,2019-12-08,4:25,1:25,@,OAK,14,13,Sun,W 42-21,,42,21,21,63,-3.0,covered,47.0,over,21,27,77.8,391,3,1,0,0,140.4,32,161,5.03,2,552,59,9.3559,60,5.9167,1,29:12,2:58,4,21,3,20,7,41,26,10,15,1,11,8,72.7%,0,0,,6,6,6,1,,0,,,2,102,51.00
PIT,2017,2018-01-14,1:05,1:05,,JAX,19,17,Sun,L 42-45,,42,45,-3,87,-7.0,not covered,40.5,over,37,58,63.8,462,5,1,2,7,110.5,18,83,4.61,1,545,78,6.9872,61,6.1967,2,31:10,3:22,4,25,3,40,7,65,28,4,23,1,16,7,43.8%,6,4,66.7%,6,6,6,,,0,,,2,79,39.50
LAR,2017,2017-12-17,4:05,1:05,@,SEA,15,14,Sun,W 42-7,,42,7,35,49,-1.0,covered,47.5,over,15,23,65.2,108,2,1,2,16,89.8,43,244,5.67,3,352,68,5.1765,54,2.7593,1,36:46,3:14,3,25,9,60,12,85,19,10,9,0,16,6,37.5%,3,1,33.3%,5,5,4,2,2,0,,1,5,213,42.60
BAL,2019,2019-12-12,8:20,8:20,,NYJ,15,14,Thu,W 42-21,,42,21,21,63,-17.0,covered,44.0,over,15,24,62.5,212,5,0,1,0,130.6,34,218,6.41,1,430,59,7.2881,57,5.4386,,31:38,3:00,6,35,8,94,14,129,23,10,11,2,8,2,25.0%,1,1,100.0%,6,5,4,,,1,1,,5,181,36.20
BUF,2018,2018-11-11,1:00,1:00,@,NYJ,10,10,Sun,W 41-10,,41,10,31,51,7.0,covered,38.0,over,16,26,61.5,239,2,0,1,8,118.6,46,212,4.61,2,451,73,6.1781,55,3.6182,,39:22,3:03,4,30,1,10,5,40,23,10,13,0,16,8,50.0%,1,1,100.0%,4,5,5,2,2,0,,,4,174,43.50
CHI,2018,2018-11-04,1:00,1:00,@,BUF,9,8,Sun,W 41-9,,41,9,32,50,-10.5,covered,38.0,over,12,20,60.0,126,1,1,1,9,76.0,25,64,2.56,2,190,46,4.1304,81,3.2593,1,25:57,3:10,14,129,10,163,24,292,11,4,5,2,11,3,27.3%,0,0,,5,5,5,2,2,0,,,5,200,40.00
